,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Size of estimated periphery,p_nuc_min_560
0,2023-10-03_Z_stack4_nuc24,1,HeLa,Confined,"[(58.27363411914622, 75.71482757247531, 79.00437042051608)]",100448.0,5.1426747347613135,0.19763392696400509,17,15,46,129,150,28,79.00437042051608,75.71482757247531,58.27363411914622,0.8162799859156732,0.15872673813066954,27.109912917437075,170.79613199837337,157.33721746617994,99746.58333333333,139.41746422208365,0.17794916706333244,58450.31427976477,0.5859881343948934,100448.0,233.0,124.76560011150048,78.0,16.44546198124845,12.814887960658517,5.998085798304134,33014,0.5570803921062709
1,2023-10-03_Z_stack5_nuc25,2,HeLa,Confined,"[(58.799106220933595, 109.52175385555803, 47.294112787979415)]",121059.0,4.341500344616576,0.16795784662243085,0,11,45,103,201,29,47.294112787979415,109.52175385555803,58.799106220933595,0.5066090773631324,0.11668986229410791,25.287569520246056,216.7075101735116,202.1509337104333,120014.125,109.78599178666435,0.15049220700249177,78185.28470750002,0.6514673560924601,121059.0,253.0,115.10625397533434,74.0,20.78478701900678,10.802606392205906,5.727583554467151,41373,2.183119409055761
2,2023-10-03_Z_stack5_nuc26,3,HeLa,Confined,"[(57.17233734586563, 111.28532952234376, 106.24015647043734)]",109158.0,5.7706088719417385,0.176519908014387,8,37,46,185,153,26,106.24015647043734,111.28532952234376,57.17233734586563,0.6014560761250038,0.10422748958943472,24.147133780879003,231.67720796113983,199.64217991196148,108076.04166666667,139.34366442790366,0.1585823181256473,69190.90044950193,0.6402057235118199,109158.0,213.0,121.7347239780868,48.0,20.87444778322496,12.606611478237893,5.518475083183546,37989,1.022806073081445
3,2023-10-03_Z_stack5_nuc27,4,HeLa,Confined,"[(58.25969626393086, 107.78533482185821, 151.96790368217427)]",103906.0,6.2214896308870244,0.16685765511153824,47,38,47,212,141,25,151.96790368217427,107.78533482185821,58.25969626393086,0.5822342561336017,0.09358438102075349,22.241450128831776,237.66198895838676,218.23152842795196,102341.5,138.37495135241855,0.14900965589144713,71007.50145814574,0.6938290083509205,103906.0,198.0,118.794352587916,57.0,22.98298337101213,11.816706622040602,5.167300234562344,40587,1.1800419404622362
4,2023-10-03_Z_stack6_nuc28,5,HeLa,Confined,"[(32.42788720226141, 131.7021894159284, 202.20992323024106)]",131953.0,7.302729899404798,0.11570671773143264,55,8,18,285,210,33,202.20992323024106,131.7021894159284,32.42788720226141,0.6345633775603108,0.08689399530058352,26.316237204646157,302.8544966037421,296.1857525270248,129885.95833333333,192.1803722741983,0.10249048432217644,121015.79209678312,0.9317080433453304,131953.0,190.0,110.2159784165574,77.0,31.339316240723008,17.637873831926612,6.214571092692455,74489,0.6362365868709354
