,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Physical pixel size X,Physical pixel size Y,Physical pixel size Z,Pixel size (um2),Voxel size (um3),Size of estimated periphery,p_nuc_min_488
0,2023-10-03_Z_stack2_nuc19,1,HeLa,Confined,"[(71.49102383693659, 123.99569642757567, 127.16126916024575)]",304863.0,6.239084401187291,0.21941236630724206,3,41,57,225,159,29,127.16126916024575,123.99569642757567,71.49102383693659,0.5584082962456501,0.08950164164142262,20.066258134470463,224.19988914687698,226.51710752170575,305119.25,125.19507811697122,0.19822255373379605,110571.73638751228,0.36238859523780387,304863.0,262.0,121.47780806460607,72.0,23.452423418782985,14.058589586239027,5.343886150409087,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,53175,2.8445328473210756
1,2023-10-03_Z_stack3_nuc20,2,HeLa,Confined,"[(54.30090952315219, 84.4382071299662, 134.93429347075875)]",195597.0,8.524756971124656,0.1480056252278726,23,11,35,224,164,32,134.93429347075875,84.4382071299662,54.30090952315219,0.6220979298957183,0.07297544457899527,16.64468913974672,228.08616289728786,228.3396592797668,194155.375,141.89192977626038,0.1321524966095566,122699.19054795917,0.6319639131698475,195597.0,288.0,133.73102348195525,83.0,23.337382356011087,15.297806300999632,4.890658435778516,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,55741,1.848796817207578
2,2023-10-03_Z_stack4_nuc21,3,HeLa,Confined,"[(60.32386238102392, 138.44491087288893, 98.3318162134455)]",113153.0,5.99882262766856,0.12834908501776768,24,71,47,161,142,27,98.3318162134455,138.44491087288893,60.32386238102392,0.7432628968918213,0.1239014625076005,22.277582383049307,179.80080244559446,169.7910480561328,109925.33333333333,133.63926528918662,0.11211771997399027,98978.69601491233,0.9004175199066549,113153.0,181.0,114.70773200887294,79.0,17.698936761555075,13.278850252569825,5.316213383004743,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,36743,1.2498312361104564
3,2023-10-03_Z_stack4_nuc22,4,HeLa,Confined,"[(60.641035437959694, 101.3307714350794, 89.59607485837307)]",136097.0,5.991257235372166,0.11984940513783426,8,19,48,151,158,26,89.59607485837307,101.3307714350794,60.641035437959694,0.7016343529626139,0.11710970258799588,21.95136007211478,187.44271044169543,184.87022475239218,132156.08333333334,131.51624485831755,0.10438814250622185,120196.28942834126,0.9095025094317736,136097.0,196.0,113.29383454447931,79.0,19.316339758123966,12.891184054872621,5.175944366317559,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,41426,1.9741617078268408
4,2023-10-03_Z_stack4_nuc23,5,HeLa,Confined,"[(60.65151097202538, 90.65407919643111, 106.07998116635436)]",210262.0,7.443709779169485,0.12761808703277003,10,21,49,190,144,25,106.07998116635436,90.65407919643111,60.65151097202538,0.7530906940747579,0.10117142075880013,19.6933105448388,194.6529009589482,192.34344283078642,209770.75,146.59128828683941,0.11326327186789276,150738.77284931563,0.7185881389531936,210262.0,191.0,114.66062341269463,76.0,19.82417702809125,14.645430557720491,5.0771640702903955,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,52079,2.476861013727772
