,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Size of estimated periphery,p_nuc_min_560
0,2023-10-03_Z_stack3_nuc6,1,HeLa,Non-Confined,"[(32.64660691421255, 129.14503049578016, 177.86894845777172)]",435798.0,4.3387075191096605,0.22884859790397175,72,43,15,211,171,34,177.86894845777172,129.14503049578016,32.64660691421255,0.5189734687423427,0.11961476233568182,28.641691332289078,239.44946905391365,228.1249657534221,436152.375,124.26792154342182,0.20614056713502818,134920.9795998195,0.3093436774242476,435798.0,248.0,117.3056094796213,51.0,24.58342671023517,13.56030778375001,7.743397545983053,63904,3.45079138549203
1,2023-10-03_Z_stack3_nuc7,2,HeLa,Non-Confined,"[(29.85470998578033, 166.24767720609586, 105.2816797075662)]",537284.0,4.255689556974904,0.23161876605893292,0,70,10,224,177,38,105.2816797075662,166.24767720609586,29.85470998578033,0.56865990601055,0.13362344654076969,33.3665936017433,249.70612916770455,244.06146766747102,536274.7083333334,141.99786394276512,0.20877272019723575,152898.03998178523,0.28511141324745837,537284.0,265.0,120.74752272541151,50.0,26.314105131539904,16.263590409851155,9.051292920529555,75924,3.6477613703629976
2,2023-10-03_Z_stack3_nuc8,3,HeLa,Non-Confined,"[(29.682620847193565, 103.96040622763064, 144.93385247799907)]",379984.0,4.080740523333893,0.2080173331346531,35,20,12,209,157,38,144.93385247799907,103.96040622763064,29.682620847193565,0.5595428181389197,0.13711796056118386,31.35243855881409,228.6530402763992,220.2203442009843,379555.875,127.94116653228834,0.18711159823742285,135487.9156146527,0.3569643484365845,379984.0,236.0,116.91968346035623,64.0,23.775432727944757,14.131840955365725,8.874539389780573,60951,3.9161798965157715
3,2023-10-03_Z_stack3_nuc9,4,HeLa,Non-Confined,"[(29.59483663859371, 214.89638468009397, 137.51481227216908)]",517105.0,5.022443283218419,0.22057663767421465,40,109,11,194,209,36,137.51481227216908,214.89638468009397,29.59483663859371,0.686746362392287,0.13673551370643106,31.659938247249478,231.54144368977072,226.99118925632334,514928.5,159.0102441970086,0.19858226432940762,156449.77844791234,0.30382815953654213,517105.0,265.0,121.77713617157058,53.0,24.433308427503075,17.04460696034672,8.577872105015283,77683,3.511720493697036
4,2023-10-03_Z_stack3_nuc10,5,HeLa,Non-Confined,"[(29.746289469630845, 108.95794424192637, 84.22937002618472)]",486925.0,5.0918875275987645,0.22473063597116666,0,11,12,176,191,37,84.22937002618472,108.95794424192637,29.746289469630845,0.8836930547715929,0.17354920940060967,33.34400617931511,192.1299802775015,196.596032513375,486227.375,169.78392918463118,0.20218198385953254,147899.9209046354,0.30417851505097876,486925.0,258.0,118.8993582173846,33.0,20.888223142867005,18.095621184983933,8.950395140389585,72449,3.9406657936397007
