,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Size of estimated periphery,p_nuc_min_560
0,2023-10-03_Z_stack2_nuc19,1,HeLa,Confined,"[(71.61860770313324, 121.53421168507118, 110.58004023380504)]",115823.0,6.528561499907618,0.15691248772025465,0,39,58,230,156,29,110.58004023380504,121.53421168507118,71.61860770313324,0.6179820798428772,0.09465823058443011,24.266723502742295,256.36147382976554,230.42786289856528,114165.5,158.42679678890389,0.13992967682695967,81332.51751822572,0.7124088933892089,115823.0,199.0,112.44621534582942,57.0,23.975656720439147,14.467415129937212,5.881808891903209,49393,0.33613332022645026
1,2023-10-03_Z_stack3_nuc20,2,HeLa,Confined,"[(53.382882759751794, 90.06532177969731, 134.96422746448715)]",109749.0,7.22555762621624,0.16299130403841464,19,6,41,231,173,28,134.96422746448715,90.06532177969731,53.382882759751794,0.685185347796576,0.09482802341933329,25.773561325572498,271.79266630498864,235.83680798382596,108337.04166666667,186.22835259074236,0.14597497578425922,75287.64179185366,0.69493905901086,109749.0,220.0,120.35527430773857,73.0,24.684664253383747,16.36367967271798,5.903389703041496,52792,2.187166024648818
2,2023-10-03_Z_stack4_nuc21,3,HeLa,Confined,"[(60.093833874530304, 140.4083617131744, 97.87463590203895)]",113637.0,5.345880765053965,0.18972843278562335,23,70,47,162,143,27,97.87463590203895,140.4083617131744,60.093833874530304,0.7504586160642225,0.14038072471985835,26.28319025035842,187.22791396617131,171.0730837975396,112486.5,140.50680120364422,0.1704682096607412,66106.01743126535,0.5876795653813156,113637.0,245.0,128.09923704427254,59.0,17.964516682398326,13.397744043476418,5.65970682639662,35499,0.6121128308608709
3,2023-10-03_Z_stack4_nuc22,4,HeLa,Confined,"[(59.73166937196858, 101.27556028648907, 90.50628802073048)]",207617.0,4.825836596187746,0.20390854673722547,6,17,47,154,161,29,90.50628802073048,101.27556028648907,59.73166937196858,0.7039569144271715,0.14587251358309178,28.064899948418287,192.39333894409094,186.87161368169325,207453.70833333334,135.4366212394232,0.18415649513894924,92026.142643115,0.44359844604584675,207617.0,228.0,117.8942620305659,51.0,19.555824636013813,13.156106290523212,6.21389441113995,45668,0.54053350641535
4,2023-10-03_Z_stack4_nuc23,5,HeLa,Confined,"[(59.51341208541572, 81.6892503407542, 122.7797273966379)]",110050.0,7.676193040782271,0.17059570579171127,9,20,49,192,146,26,122.7797273966379,81.6892503407542,59.51341208541572,0.8308607388452459,0.10823864569729104,23.146367706172377,213.84568845128925,194.79476378999513,109041.625,177.67598670550845,0.1526024183128821,72329.85344629074,0.6633233267230816,110050.0,214.0,116.03435711040436,74.0,20.238712367447715,15.273672073487043,5.317410752136134,44627,0.12385279791688807
