,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Size of estimated periphery,p_nuc_min_560
0,2023-10-03_Z_stack6_nuc29,1,HeLa,Confined,"[(36.908583391486395, 143.67280819702825, 86.03571732507277)]",117506.0,7.379756112306971,0.1359863430030257,4,40,23,150,178,30,86.03571732507277,143.67280819702825,36.908583391486395,0.8041655133595637,0.10896911783012585,21.139355836351587,193.99400726824416,183.7906417639375,114262.45833333333,156.0032904435465,0.11948483677286327,95303.10250269953,0.834071871836291,117506.0,190.0,109.25546780589927,67.0,19.13366166275639,15.469011693876578,5.684754542600638,43895,1.206237874888057
1,2023-10-03_Z_stack6_nuc30,2,HeLa,Confined,"[(35.82729840328499, 108.76321850414497, 98.05944541094105)]",141979.0,5.978323451101776,0.10543929003883612,12,9,22,154,239,31,98.05944541094105,108.76321850414497,35.82729840328499,0.5818094382037478,0.09731983271940955,26.55850561863471,272.89921156366574,241.51811526260303,137093.20833333334,158.7753369661021,0.0919610016270528,139816.27422578086,1.0198628796098093,141979.0,182.0,107.19545144000169,84.0,25.452917186615927,15.040263498286468,6.097046806300369,67251,0.049163007704506906
2,2023-10-03_Z_stack7_nuc31,3,HeLa,Confined,"[(47.07983829301234, 103.4702736510066, 75.760485120963)]",110323.0,4.9610446867767255,0.18393017565380274,0,14,33,139,175,29,75.760485120963,103.4702736510066,47.07983829301234,0.5493056671543263,0.11072378941041529,23.598726190278004,213.1314897723161,192.77188591700815,109791.20833333333,117.07433518097756,0.1651448749074551,67142.48343155706,0.6115469940699447,110323.0,251.0,114.25842299429856,73.0,20.33477912712285,11.774623143300833,5.584668769508921,36355,0.36747994262262973
3,2023-10-03_Z_stack8_nuc32,4,HeLa,Confined,"[(58.11938507497755, 95.65815774236589, 97.7903145952387)]",119169.0,5.43492202107652,0.1545481540425923,41,7,44,131,181,29,97.7903145952387,95.65815774236589,58.11938507497755,0.6371347030041388,0.11722977818878379,25.489976793722516,217.4360234024679,185.34562309372185,117838.75,138.53603619293236,0.13794296195736758,84264.24399948501,0.7150809389906547,119169.0,197.0,112.85126165361797,80.0,19.40344767004023,13.916505371778525,5.670383934908051,44962,0.7706686206527753
4,2023-10-03_Z_stack8_nuc33,5,HeLa,Confined,"[(58.83082492087612, 83.42492668337866, 114.3584045528896)]",103319.0,5.146399870542315,0.14709090703603492,16,8,46,193,153,27,114.3584045528896,83.42492668337866,58.83082492087612,0.5298667304304615,0.10295871750335364,23.985580939430648,232.96308968348765,207.74984957876623,101160.20833333333,123.43939064156797,0.13022486424254154,80623.81686282714,0.7969914078978895,103319.0,196.0,111.00913675122678,63.0,21.854876031305764,11.90990982143884,5.318715128911844,42513,1.1049298182226295
