,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Size of estimated periphery,p_nuc_min_560
0,2023-10-03_Z_stack1_nuc1,1,HeLa,Non-Confined,"[(34.08864431719282, 134.49072837470172, 600.9216243835251)]",382619.0,5.232225295348893,0.20670815074927404,503,30,19,191,194,31,600.9216243835251,134.49072837470172,34.08864431719282,0.6628144708718489,0.12667926808523472,28.41124011416924,224.2769518928153,217.25791124835936,384196.4583333333,148.65400919758747,0.1868752372301669,136762.78588211548,0.35597096984027504,382619.0,226.0,116.80229418821334,52.0,23.40139045824531,16.23331386712076,7.537212380632155,67530,3.3391591138699965
1,2023-10-03_Z_stack1_nuc2,2,HeLa,Non-Confined,"[(35.8249279271148, 88.25319483305105, 153.74358246040637)]",376702.0,5.372839151346758,0.25512916749270365,67,0,19,170,179,32,153.74358246040637,88.25319483305105,35.8249279271148,0.8217553487699188,0.1529462032311054,26.068229966933195,170.44051709831248,182.03571078225283,376970.7916666667,140.0604065726491,0.22928410858674816,110064.84768442326,0.29197181881865053,376702.0,236.0,113.2271105542312,51.0,19.405280491728615,16.070215680141068,7.566515912033438,54205,3.234728234458616
2,2023-10-03_Z_stack3_nuc3,3,HeLa,Non-Confined,"[(31.217794227411538, 108.49766282605393, 179.06830316547808)]",454181.0,4.611300134619437,0.2135879556228419,72,35,14,224,154,34,179.06830316547808,108.49766282605393,31.217794227411538,0.5810478327962267,0.12600520803970125,29.114188552971477,231.05543815139998,229.43626565998673,454026.2083333333,134.25426159365355,0.19198429115397836,148800.95270563345,0.32773648299260283,454181.0,230.0,116.98344712790716,59.0,24.73347440074084,15.15184857224302,7.879164959574974,65101,3.320304748045048
3,2023-10-03_Z_stack3_nuc4,4,HeLa,Non-Confined,"[(30.8737602687267, 339.24992515930376, 164.50366039041572)]",514426.0,4.41504079408121,0.2659812521785076,67,245,11,187,183,38,164.50366039041572,339.24992515930376,30.8737602687267,0.6932064065913077,0.15701019286630846,32.77268680396309,208.72967675333337,209.6687864227768,514103.9583333333,144.69274917114345,0.2399076417406799,129362.18465078955,0.2516265096852533,514426.0,299.0,119.89129048687275,47.0,22.682399311440832,16.70007056242297,8.690687897543933,68986,3.8730371360042644
4,2023-10-03_Z_stack3_nuc5,5,HeLa,Non-Confined,"[(29.985686482734113, 318.91575519918683, 115.79342916998955)]",484018.0,4.072243685207203,0.23580655293589753,7,241,9,213,151,43,115.79342916998955,318.91575519918683,29.985686482734113,0.5986364561701867,0.14700408483529323,33.08871592518497,225.0870508956151,218.58865478336244,485370.0416666667,134.74531447794948,0.21279125482754557,140360.74356011345,0.289182956323678,484018.0,290.0,119.19214574664579,62.0,23.594326820361736,15.105680840819414,9.741097202557658,68101,3.681452800888289
