,Image_name,Volume_agg_SITK (nm^3),Centroid,bbox_agg_0,bbox_agg_1,Aggregate ID,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,r_agg_dist_488,r_agg_dist_560,p_agg_min_488,p_agg_min_560
0,2023-10-03_Z_stack4_nuc24,784.0,"(58.253826530612244, 32.52423469387755, 67.3329081632653)",62,28,1,53,12,10,11,67.3329081632653,32.52423469387755,58.253826530612244,0.9529531482277406,0.8492771468069482,9.326598523312528,10.9818079508886,12.806248474865697,772.8333333333334,10.465148460031724,0.9152271730777127,444.98542084282315,0.5757844565574592,784.0,282.0,161.76020408163265,110.0,5.354136036439279,4.845323447104982,2.007423106963819,1.5188323640099686
1,2023-10-03_Z_stack4_nuc24,1227.0,"(60.173594132029336, 45.178484107579465, 76.60635696821515)",71,39,2,54,12,13,15,76.60635696821515,45.178484107579465,60.173594132029336,0.7358750589058546,0.7026562668324675,10.476538035935432,14.909904786252088,17.46424919657298,1213.75,10.97182706286394,0.8963962452367277,613.8613041458144,0.5057559663405268,1227.0,248.0,155.71964140179298,102.0,3.8979961966712198,3.348461087364829,3.235131210367853,0.10709300225666582
2,2023-10-03_Z_stack5_nuc25,639.0,"(54.5414710485133, 119.87480438184663, 28.050078247261347)",23,116,3,49,11,9,12,28.050078247261347,119.87480438184663,54.5414710485133,0.8612295193004159,0.753515603420574,8.322213110638192,11.044513309159914,13.152946437965905,627.875,9.511860888154839,0.906009819944342,391.38124797705893,0.6233426207080374,639.0,302.0,160.63693270735524,95.0,2.5788014449256584,2.577771079709793,2.2555058118685647,1.5465486158461663
3,2023-10-03_Z_stack5_nuc25,736.0,"(56.00407608695652, 62.98233695652174, 78.3804347826087)",73,58,4,50,11,11,12,78.3804347826087,62.98233695652174,56.00407608695652,0.8692219773452715,0.7876702519468401,8.952628026702,11.365959301591362,13.19090595827292,724.0833333333334,9.879541618555127,0.9144198713689842,426.44612266960877,0.5889461931217983,736.0,222.0,156.09103260869566,111.0,6.2186028650722305,6.098205611577773,2.0189453511051436,2.1262650704522144
4,2023-10-03_Z_stack5_nuc25,555.0,"(54.96036036036036, 47.78738738738739, 23.158558558558557)",18,43,5,51,11,11,10,23.158558558558557,47.78738738738739,54.96036036036036,0.7696318926246557,0.7030285751031506,7.92274641339122,11.269451476035336,13.038404810405298,544.1666666666666,8.673329268342796,0.8906311040228977,361.91581094667424,0.6650826541133371,555.0,203.0,153.5009009009009,112.0,7.542791366204546,7.237507256613274,1.4145065165546615,1.6521453858290267
5,2023-10-03_Z_stack5_nuc25,525.0,"(54.92190476190476, 114.17142857142858, 63.59428571428571)",59,110,6,51,10,10,9,63.59428571428571,114.17142857142858,54.92190476190476,0.8426173649004587,0.7186708130513203,7.6338073614922655,10.622119644849324,12.36931687685298,515.0,8.950382464800333,0.89720192888005,346.3103026656638,0.6724471896420656,525.0,220.0,154.37142857142857,107.0,1.7870308162640958,2.058098724316889,2.65421197778859,1.4537989539751588
6,2023-10-03_Z_stack5_nuc25,1308.0,"(58.75, 94.5802752293578, 67.97782874617737)",62,83,7,52,13,20,14,67.97782874617737,94.5802752293578,58.75,0.692855371671006,0.6104592768755096,10.267512613391943,16.819324404313686,21.236760581595302,1291.0833333333333,11.653359261405981,0.8341311535549965,687.4154664583396,0.5324330728393516,1308.0,317.0,161.70336391437309,110.0,2.797682964140894,2.763402909334116,2.828116770253035,0.07531288705856
7,2023-10-03_Z_stack5_nuc25,420.0,"(57.08571428571429, 140.78095238095239, 18.12142857142857)",15,137,8,52,7,9,11,18.12142857142857,140.78095238095239,57.08571428571429,0.8122352914889759,0.6705218736151337,6.833916019561922,10.1919359956398,11.74734012447073,410.75,8.278250104255479,0.9063116657063031,294.84353022003233,0.7178174807547957,420.0,219.0,155.02380952380952,110.0,4.574806142713677,4.648833646917404,1.6203660848874775,1.9628018911158243
8,2023-10-03_Z_stack5_nuc25,527.0,"(62.0303605313093, 127.02656546489564, 61.903225806451616)",58,121,9,58,9,12,9,61.903225806451616,127.02656546489564,62.0303605313093,0.8117127008631732,0.7219970664516376,7.759030393810978,10.74662315727111,13.0,516.7083333333334,8.723170508147254,0.8983020892735968,346.650655085207,0.6708826483384378,527.0,231.0,155.33017077798863,111.0,2.3256242991573264,2.588165785558274,2.166077232911855,1.2685902148032944
9,2023-10-03_Z_stack5_nuc25,273.0,"(62.24175824175824, 168.0952380952381, 34.014652014652015)",31,164,10,59,7,9,8,34.014652014652015,168.0952380952381,62.24175824175824,0.8879770965764039,0.8445056275502735,6.693508888348251,7.925949419383574,9.433981132056603,265.4166666666667,7.03806155303566,0.9095634398365221,219.5852964357403,0.827322937905458,273.0,214.0,156.24175824175825,112.0,6.35447826613095,6.556758736365818,2.0375580908279343,1.652204404239523
10,2023-10-03_Z_stack5_nuc26,427.0,"(64.3864168618267, 122.1639344262295, 181.27868852459017)",176,118,11,61,11,9,8,181.27868852459017,122.1639344262295,64.3864168618267,0.8012058110480912,0.7218936315909159,7.2519577415869385,10.045742785685762,11.74734012447073,417.25,8.048707496185871,0.9003523308324646,299.91799782024935,0.7187968791378055,427.0,150.0,118.56206088992974,95.0,8.370218682048959,8.39217088789552,0.8415322469484801,0.9217082389179813
