,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Physical pixel size X,Physical pixel size Y,Physical pixel size Z,Pixel size (um2),Voxel size (um3),Size of estimated periphery,p_nuc_min_488
0,2023-10-03_Z_stack4_nuc24,1,HeLa,Confined,"[(59.66553114759409, 81.14284326057734, 75.73292267493022)]",185231.0,5.156189984925533,0.16545494558143184,19,16,46,127,149,28,75.73292267493022,81.14284326057734,59.66553114759409,0.7553656742625754,0.14649686618820204,22.449589574297217,153.24279732684937,156.1473662922305,185489.75,115.75434892867875,0.14737289433155526,106728.34838800912,0.5753867714415979,185231.0,282.0,115.41813195415455,76.0,16.128467984097245,12.479029320328497,5.717502644525874,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,35668,2.9371430860219303
1,2023-10-03_Z_stack5_nuc25,2,HeLa,Confined,"[(58.250254639988064, 112.05647680538686, 48.98611945705214)]",234645.0,4.441171364343867,0.39245907199793356,0,15,46,102,196,25,48.98611945705214,112.05647680538686,58.250254639988064,0.4679822946717497,0.10537361796686319,20.40613229891471,193.65504091671048,197.76248380317233,234426.16666666666,90.62713042295374,0.3568578974856032,51522.01852551452,0.21977929877927957,234645.0,317.0,126.28934347631528,71.0,19.901025134969657,10.12476183149445,5.176881971191856,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,38237,3.0599453686517917
2,2023-10-03_Z_stack5_nuc26,3,HeLa,Confined,"[(58.57437390034814, 110.74299966308539, 105.9327948938719)]",106852.0,6.221118357358439,0.10392292192152303,8,38,46,184,152,26,105.9327948938719,110.74299966308539,58.57437390034814,0.597565242032757,0.09605431173415022,21.078869122526235,219.44740159990195,198.1741658239035,103374.25,131.13413965050503,0.09034787229932396,117898.36333634064,1.1405003019256792,106852.0,173.0,111.61587054991952,88.0,20.644420123373344,12.40314802996188,5.17821391181956,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,43917,2.026317058914623
3,2023-10-03_Z_stack5_nuc27,4,HeLa,Confined,"[(58.78681875062929, 108.11780274153877, 156.390129885074)]",139046.0,6.006401181476834,0.10379793691807376,48,38,46,211,141,26,156.390129885074,108.11780274153877,58.78681875062929,0.5023929705192252,0.08364292616160186,19.412542062231232,232.08827037836213,217.7291895911065,136117.33333333334,116.59951557805442,0.0905320027470161,141348.4177598704,1.0384307001792845,139046.0,189.0,110.4798915466824,88.0,22.775399385335405,11.209988182828042,4.996491999684375,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,45915,2.5445159270245226
4,2023-10-03_Z_stack6_nuc28,5,HeLa,Confined,"[(34.20937456417278, 121.93647593811149, 199.57419311213386)]",236619.0,8.49432562651864,0.11453895594930377,57,5,20,279,211,29,199.57419311213386,121.93647593811149,34.20937456417278,0.5031423644619178,0.05923276156157,18.57402881169431,313.57695170750014,288.435434716333,235537.41666666666,157.77384892287225,0.10204265903850668,180748.88593810028,0.7673892687457666,236619.0,274.0,127.36350842493628,78.0,29.94552778214686,16.98518702400912,5.565607630269801,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,83347,1.134855097022666
