,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Physical pixel size X,Physical pixel size Y,Physical pixel size Z,Pixel size (um2),Voxel size (um3),Size of estimated periphery,p_nuc_min_488
0,2023-10-03_Z_stack1_nuc1,1,HeLa,Non-Confined,"[(34.6617162342151, 132.5826631598469, 606.2384595282653)]",474504.0,5.078045276679569,0.5245993386510766,507,33,18,186,189,32,606.2384595282653,132.5826631598469,34.6617162342151,0.6239581006388167,0.12287367808717585,25.56286639582775,208.04184259619478,209.57576195734086,474698.75,129.80939295972138,0.4807337794990499,61215.050249196946,0.12895557498138965,474504.0,770.0,180.6154257919849,66.0,22.565652128151353,15.69445958081667,7.495966966599228,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,60468,3.201611318742634
1,2023-10-03_Z_stack1_nuc2,2,HeLa,Non-Confined,"[(35.58914635695234, 86.73650762290494, 155.16720998386512)]",425166.0,4.891999332055703,0.5498969768914379,76,3,19,158,174,32,155.16720998386512,86.73650762290494,35.58914635695234,0.8212377599053736,0.16787364514219422,27.485281949946287,163.72600908656864,178.65049678072546,424426.0833333333,134.45798094050048,0.501536703969453,54456.46510837164,0.12830612266023936,425166.0,993.0,174.7760333610872,69.0,19.017486012604614,15.6288446647957,7.677150217418339,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,50937,3.534761506734357
2,2023-10-03_Z_stack3_nuc3,3,HeLa,Non-Confined,"[(31.234881457546617, 109.70175575193677, 180.15287499513371)]",513740.0,4.568829627846964,0.5627362184943856,76,38,14,217,150,35,180.15287499513371,109.70175575193677,31.234881457546617,0.5794578503913751,0.12682850917871558,27.356363694449858,215.6956970605219,224.46826056260159,513472.8333333333,124.98656495735926,0.5163573402458641,60054.48081509094,0.11695746477030289,513740.0,1772.0,295.1262700977148,117.0,24.167173490217234,14.577006388655413,8.146006632720063,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,60108,3.300520205998849
3,2023-10-03_Z_stack3_nuc4,4,HeLa,Non-Confined,"[(30.14755161267195, 342.88419216777896, 164.9432159300256)]",641606.0,3.822055545149838,0.5994249971872242,62,248,6,192,179,44,164.9432159300256,342.88419216777896,30.14755161267195,0.6842250395852051,0.17902017160726083,35.270682720128704,197.0207178524354,222.8429940563535,641225.4583333334,134.80650847168815,0.5482261171079214,65594.11965669523,0.10229493979728564,641606.0,1539.0,253.44480413213094,84.0,24.130797076932183,16.337749731588417,10.167745766368864,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,70269,4.370339031997041
4,2023-10-03_Z_stack3_nuc5,5,HeLa,Non-Confined,"[(29.79546683700628, 321.0701266900884, 112.58709251570318)]",469650.0,4.313921145168554,0.5608781966157838,10,245,4,206,145,41,112.58709251570318,321.0701266900884,29.79546683700628,0.5652022403790459,0.1310182132123679,27.499401195237496,209.88991164658626,211.3078323205271,469300.3333333333,118.63024829561054,0.5145615658183164,56756.29299000689,0.1209381050017158,469650.0,1807.0,273.60477163845417,134.0,22.77768926895378,14.319904581723254,9.426668918759237,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,57186,3.4093896934242554
