,Image_name,Volume_agg_SITK (nm^3),Centroid,bbox_agg_0,bbox_agg_1,Aggregate ID,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,r_agg_dist_488,r_agg_dist_560,p_agg_min_488,p_agg_min_560
0,2023-10-03_Z_stack1_nuc1,355.0,"(26.529577464788733, 116.8056338028169, 602.1295774647888)",598,113,1,23,9,9,8,602.1295774647888,116.8056338028169,26.529577464788733,0.953324320814952,0.8358451646749739,7.082706337647764,8.473706180261196,10.04987562112089,345.9583333333333,8.078190189082965,0.9087275796503258,262.26053711336897,0.7580697206697405,355.0,524.0,325.09859154929575,184.0,2.6318615561798158,2.64134562637769,2.4136079828756856,2.1140664425681575
1,2023-10-03_Z_stack1_nuc1,316.0,"(27.303797468354432, 131.21518987341773, 625.2025316455696)",622,127,2,24,8,10,8,625.2025316455696,131.21518987341773,27.303797468354432,0.816699718419505,0.7462445137145237,6.658934524531408,8.923260944841983,10.295630140987,307.0,7.287624701036213,0.8957873042282616,245.68094379505834,0.8002636605702226,316.0,518.0,322.1677215189873,206.0,2.712649787067472,3.1132492856223166,2.524010619334511,2.496597831593209
2,2023-10-03_Z_stack1_nuc1,827.0,"(29.808948004836758, 167.9371221281741, 549.4002418379686)",543,162,3,25,13,12,11,549.4002418379686,167.9371221281741,29.808948004836758,0.881199820382994,0.7295464278420521,8.882271431842591,12.175059863038099,14.352700094407323,814.6666666666666,10.728660564461373,0.883086087254987,477.67705400482424,0.5863466293021574,827.0,709.0,333.28657799274487,162.0,7.342205270443671,6.731228009577825,2.651815180569298,2.834487155665761
3,2023-10-03_Z_stack1_nuc1,318.0,"(30.169811320754718, 205.82704402515722, 594.996855345912)",591,202,4,27,9,8,8,594.996855345912,205.82704402515722,30.169811320754718,0.8610782549404391,0.7724075070608397,6.702791813983757,8.677792166325752,10.04987562112089,309.2083333333333,7.472258135315591,0.9098591691871318,243.03980514320955,0.7860066464677307,318.0,571.0,333.6194968553459,165.0,8.097337065566666,7.809167130506849,1.284048276933367,1.443606782734109
4,2023-10-03_Z_stack1_nuc1,1455.0,"(36.409621993127146, 110.70652920962199, 579.8680412371134)",572,104,5,31,17,15,12,579.8680412371134,110.70652920962199,36.409621993127146,0.6694821492780025,0.6181318356988673,10.484007319810905,16.96079495397217,19.6468827043885,1440.5,11.35494945924879,0.8796236336111312,701.2336421469,0.4867987796923985,1455.0,770.0,341.3704467353952,167.0,3.7343372892054627,3.4848316147460703,2.5490393807030682,2.930037008200856
5,2023-10-03_Z_stack1_nuc1,620.0,"(38.056451612903224, 210.09677419354838, 587.1387096774193)",582,205,6,34,11,11,9,587.1387096774193,210.09677419354838,38.056451612903224,0.880951395416217,0.7327477761639994,8.034258442617311,10.964562027983732,12.884098726725126,609.4166666666666,9.659246218679934,0.9041657239913876,384.4551091198884,0.6308575563296405,620.0,584.0,327.4532258064516,196.0,8.684169579158345,8.37738017577521,1.0727101162634376,1.3048547259586056
6,2023-10-03_Z_stack1_nuc1,594.0,"(38.79124579124579, 146.77272727272728, 591.9006734006734)",587,142,7,35,11,11,9,591.9006734006734,146.77272727272728,38.79124579124579,0.9089887738882396,0.7623018342389954,8.041511419784227,10.548986055913211,12.24744871391589,583.5,9.588909900728686,0.9082036639422366,371.8160348411449,0.6372168549119879,594.0,512.0,318.72053872053874,200.0,2.3989771140019123,1.999383665145317,2.51889690056307,2.210264242237733
7,2023-10-03_Z_stack1_nuc1,1093.0,"(41.65690759377859, 114.67337602927722, 662.3193046660567)",655,108,8,37,15,14,10,662.3193046660567,114.67337602927722,41.65690759377859,0.9612137758912833,0.7136184700231626,9.255491446516759,12.969803663036279,15.297058540778355,1079.5416666666667,12.466753951515699,0.8960340284766851,567.9619317096731,0.5261139511765083,1093.0,672.0,331.92680695333945,174.0,6.593068683885842,7.219391254677257,2.1696486046087635,1.7684784758096654
8,2023-10-03_Z_stack1_nuc2,3820.0,"(34.12251308900524, 57.4413612565445, 182.64267015706807)",169,45,9,27,26,25,15,182.64267015706807,57.4413612565445,34.12251308900524,0.4924774204712806,0.46629913733238665,13.755616914532895,29.499554713367694,31.54362059117501,3795.5,14.52786461029073,0.7878067052627461,1493.6325936203875,0.39352722793318073,3820.0,993.0,391.813612565445,180.0,4.363925663748266,4.5931961218094,3.2143556170897285,3.1896448009719847
9,2023-10-03_Z_stack1_nuc2,363.0,"(34.225895316804404, 75.08539944903582, 84.60330578512396)",81,71,10,31,8,10,8,84.60330578512396,75.08539944903582,34.225895316804404,0.8719285993365284,0.7585574210817975,6.88914404628115,9.081901850563101,10.488088481701515,354.125,7.918769959873311,0.9173374975328269,263.8716320563078,0.7451369772151297,363.0,662.0,378.77134986225894,219.0,7.752449325116814,7.632135077560054,1.056541872185144,1.6936064840953293
