,Image name,Cell line,Condition,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3),Nucleus ID,Number of total HP1a condensates,Number of voxels nucleus,bbox nucleus (um),Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Confiner height (um),Number of voxels inner nucleus object,Number of voxels HP1a condensates,Radial distance random point (um),Radial distance HP1a condensate (um),Peripheral distance random point (um),Peripheral distance HP1a condensate (um),Major axis HP1a condensate (um),Intermediate axis HP1a condensate (um),Minor axis HP1a condensate (um),Radial distance HP1a condensate scaled,Minimum peripheral distance HP1a condensate scaled,Radial distance random point scaled,Minimum peripheral distance random point scaled,Volume HP1a condensate (um3),Volume nucleus (um3)
0,2022-06-08_Image1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,24,4,2589444.0,"[-7.574754904739557, 8.056286264207257, -5.814404794604931, 6.130717250753336, -6.052080332553328, 6.052080332553327]",15.631041168946814,11.945122045358268,7.232772006203988,$<8.0$ -- $5.0$,2200305,3397.0,5.64601261067983,4.279559428460012,0.0977906833065276,1.2263348803240213,1.1810307115328715,0.985235312876704,2.247915552091236,0.2737859482426505,0.1013151522235858,0.361205152597026,0.0080790966025785,1.404323478309013,1070.4789534784825
1,2022-06-08_Image1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,24,4,2589444.0,"[-7.574754904739557, 8.056286264207257, -5.814404794604931, 6.130717250753336, -6.052080332553328, 6.052080332553327]",15.631041168946814,11.945122045358268,7.232772006203988,$<8.0$ -- $5.0$,2200305,2950.0,3.852058954522752,4.274882873946037,1.6275806488418054,1.2530984933303202,1.2352009556022343,0.8763756539935181,2.0749989711611407,0.273486764428634,0.103526260762772,0.246436492162492,0.1344645608954715,1.21953319429249,1070.4789534784825
2,2022-06-08_Image1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,24,4,2589444.0,"[-7.574754904739557, 8.056286264207257, -5.814404794604931, 6.130717250753336, -6.052080332553328, 6.052080332553327]",15.631041168946814,11.945122045358268,7.232772006203988,$<8.0$ -- $5.0$,2200305,4253.0,6.118009317581786,4.542946462157391,1.0594691694115317,2.043918681020923,1.225255169112029,0.9978938838137866,2.5937487139514266,0.2906362035039976,0.1688608353417715,0.3914012669697295,0.0875293379462256,1.7581948051952407,1070.4789534784825
3,2022-06-08_Image1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,24,4,2589444.0,"[-7.574754904739557, 8.056286264207257, -5.814404794604931, 6.130717250753336, -6.052080332553328, 6.052080332553327]",15.631041168946814,11.945122045358268,7.232772006203988,$<8.0$ -- $5.0$,2200305,750.0,3.502960455508501,4.958129502035644,1.5872711677825964,0.4750127428012292,0.6347076854991275,0.5269938407176525,1.5562492283708558,0.3171976484769064,0.0392437572454383,0.224102823199494,0.1311343439416094,0.3100508121082602,1070.4789534784825
4,2022-06-08_Image10,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,25,7,2495540.0,"[-8.415203499594583, 8.427515211848217, -4.767763786253111, 5.13313468818927, -4.2364562327873285, 4.236456232787329]",16.8427187114428,9.900898474442382,5.754172968177496,$<8.0$ -- $5.0$,2139620,1117.0,7.439984904214997,3.3795187218869125,0.0425444965204953,0.6048000343073584,0.7947891919202166,0.619414646485964,1.0374994855805704,0.2006516156795337,0.0713804180988123,0.4417330142288925,0.0050212364040526,0.3496041584273863,781.0663934842253
5,2022-06-08_Image10,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,25,7,2495540.0,"[-8.415203499594583, 8.427515211848217, -4.767763786253111, 5.13313468818927, -4.2364562327873285, 4.236456232787329]",16.8427187114428,9.900898474442382,5.754172968177496,$<8.0$ -- $5.0$,2139620,3142.0,7.096215046241775,4.730165288049008,0.8260646993043472,0.965734141303924,1.0862062502943304,0.857611844591348,1.9020823902310464,0.2808433346829793,0.1139790060652332,0.4213224223367612,0.0974947755757702,0.9833986264806156,781.0663934842253
6,2022-06-08_Image10,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,25,7,2495540.0,"[-8.415203499594583, 8.427515211848217, -4.767763786253111, 5.13313468818927, -4.2364562327873285, 4.236456232787329]",16.8427187114428,9.900898474442382,5.754172968177496,$<8.0$ -- $5.0$,2139620,991.0,3.486355673746108,5.243881774437846,0.579479008323328,0.5236251374705998,0.8377530217031528,0.4955746801661249,1.2104160665106654,0.3113441401164764,0.0617998993378112,0.2069948286542069,0.0683919503096183,0.3101680581929631,781.0663934842253
7,2022-06-08_Image10,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,25,7,2495540.0,"[-8.415203499594583, 8.427515211848217, -4.767763786253111, 5.13313468818927, -4.2364562327873285, 4.236456232787329]",16.8427187114428,9.900898474442382,5.754172968177496,$<8.0$ -- $5.0$,2139620,4385.0,4.954356612804949,6.524304788818605,0.6611791250497874,1.0107414040972795,1.1061546783971707,1.0239441186850842,1.9020823902310455,0.3873664875959751,0.119290905955173,0.2941542097618124,0.078034457187673,1.3724388851424252,781.0663934842253
8,2022-06-08_Image10,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,25,7,2495540.0,"[-8.415203499594583, 8.427515211848217, -4.767763786253111, 5.13313468818927, -4.2364562327873285, 4.236456232787329]",16.8427187114428,9.900898474442382,5.754172968177496,$<8.0$ -- $5.0$,2139620,526.0,3.189767063011425,2.851905017021164,1.4130131014394054,1.6236592418447702,0.518029232763618,0.3935830511624349,1.2104160665106658,0.1693256929526231,0.1916294129606175,0.1893855212842998,0.1667682874313243,0.1646300692325919,781.0663934842253
9,2022-06-08_Image10,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,25,7,2495540.0,"[-8.415203499594583, 8.427515211848217, -4.767763786253111, 5.13313468818927, -4.2364562327873285, 4.236456232787329]",16.8427187114428,9.900898474442382,5.754172968177496,$<8.0$ -- $5.0$,2139620,603.0,6.824655328497701,3.85039231994129,0.0,0.4908080349275369,0.5542340198533926,0.4296776660922831,1.38333264744076,0.2286087172687486,0.0579267208202237,0.4051991513615369,0.0,0.1887299082647394,781.0663934842253
10,2022-06-08_Image10,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,25,7,2495540.0,"[-8.415203499594583, 8.427515211848217, -4.767763786253111, 5.13313468818927, -4.2364562327873285, 4.236456232787329]",16.8427187114428,9.900898474442382,5.754172968177496,$<8.0$ -- $5.0$,2139620,2260.0,3.3012142543745604,5.6946722490593285,0.9785027155705888,1.2285627819912368,0.7242717796915306,0.7336230345149752,2.0749989711611407,0.3381088496829444,0.1449988757682641,0.1960024572595719,0.1154859936941675,0.7073459248396536,781.0663934842253
11,2022-06-08_Image11,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,26,7,2373056.0,"[-7.724516946389001, 7.449860609797162, -7.4009898729231, 8.108369788338358, -3.5447899090669486, 3.5447899090669495]",15.174377556186164,15.509359661261458,4.915320085728073,$<8.0$ -- $5.0$,2042705,1030.0,2.99857835891391,3.306059855344748,0.7894333652078942,0.7245352871293549,0.6846936770129086,0.6724864256534233,0.8645829046504754,0.2178712005222884,0.1021972113602728,0.1976079972843086,0.1113512204473193,0.3223744701702846,742.730748237296
12,2022-06-08_Image11,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,26,7,2373056.0,"[-7.724516946389001, 7.449860609797162, -7.4009898729231, 8.108369788338358, -3.5447899090669486, 3.5447899090669495]",15.174377556186164,15.509359661261458,4.915320085728073,$<8.0$ -- $5.0$,2042705,1539.0,5.3915213786816105,4.371246980174114,1.1659648330919727,0.6505138385159611,0.8425847651003193,0.7231884503395876,1.0374994855805704,0.2880676300552492,0.0917563318565172,0.3553042857091453,0.164461768257357,0.4816837957204544,742.730748237296
13,2022-06-08_Image11,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,26,7,2373056.0,"[-7.724516946389001, 7.449860609797162, -7.4009898729231, 8.108369788338358, -3.5447899090669486, 3.5447899090669495]",15.174377556186164,15.509359661261458,4.915320085728073,$<8.0$ -- $5.0$,2042705,2794.0,3.6684879940359343,4.217832745780687,0.9934897629689684,1.2043484036174623,1.1116491026489146,0.7962040123702825,1.556249228370855,0.2779575458804368,0.1698758508278517,0.2417554183328195,0.1401338003738664,0.8744798734522089,742.730748237296
14,2022-06-08_Image11,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,26,7,2373056.0,"[-7.724516946389001, 7.449860609797162, -7.4009898729231, 8.108369788338358, -3.5447899090669486, 3.5447899090669495]",15.174377556186164,15.509359661261458,4.915320085728073,$<8.0$ -- $5.0$,2042705,1795.0,5.200420293939195,6.234609767206696,0.6047852717213186,0.2569919112985591,0.944412678630672,0.7399638450643441,1.2104160665106654,0.4108642838312022,0.0362492443686463,0.3427106169385597,0.0853062222636078,0.5618079358792823,742.730748237296
15,2022-06-08_Image11,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,26,7,2373056.0,"[-7.724516946389001, 7.449860609797162, -7.4009898729231, 8.108369788338358, -3.5447899090669486, 3.5447899090669495]",15.174377556186164,15.509359661261458,4.915320085728073,$<8.0$ -- $5.0$,2042705,1115.0,2.389533567226198,4.005648610857752,1.8412039405670768,1.056074799633416,0.7420679090113453,0.6323542239957989,1.0374994855805704,0.2639744922667199,0.1489615501516976,0.1574716035882508,0.2597056508000094,0.3489781885823955,742.730748237296
16,2022-06-08_Image11,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,26,7,2373056.0,"[-7.724516946389001, 7.449860609797162, -7.4009898729231, 8.108369788338358, -3.5447899090669486, 3.5447899090669495]",15.174377556186164,15.509359661261458,4.915320085728073,$<8.0$ -- $5.0$,2042705,2004.0,3.164906415009318,2.736774409154324,1.145298924527421,0.6310519227287849,0.8759428037313086,0.8214489016685005,1.3833326474407608,0.180354970015796,0.0890111880981528,0.2085691095592303,0.1615467988099869,0.6272217846808256,742.730748237296
17,2022-06-08_Image11,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,26,7,2373056.0,"[-7.724516946389001, 7.449860609797162, -7.4009898729231, 8.108369788338358, -3.5447899090669486, 3.5447899090669495]",15.174377556186164,15.509359661261458,4.915320085728073,$<8.0$ -- $5.0$,2042705,1474.0,2.585685744495503,6.262495975306136,0.6523008147849034,0.4435509026214112,0.8023446428379971,0.5910469923374866,1.38333264744076,0.4127020006005514,0.0625637786723108,0.1703981421920922,0.0920083885812855,0.4613397757582519,742.730748237296
18,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,1586.0,2.358496984165609,5.819223078891985,3.066124563946793,0.4000901818602819,0.8248259148606203,0.7090890228918539,1.2104160665106654,0.3244120352482026,0.0462755138585612,0.1314822952114077,0.3546362699811111,0.4963940870777392,1221.8321053622406
19,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,1626.0,2.3380178851121887,8.02938083685436,1.731656099054346,0.0584564077283851,0.7160180735267776,0.6167474896859264,1.556249228370855,0.4476246646249578,0.0067612264149517,0.1303406194045344,0.2002880336564602,0.5089134839775561,1221.8321053622406
20,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,2925.0,6.560737301131524,7.340246042376221,0.8211408609547489,0.2107540559319098,1.1719874170681193,0.7961642870213474,1.9020823902310464,0.4092065427887396,0.0243763848207375,0.3657502233088707,0.0949753755872273,0.9154808982991092,1221.8321053622406
21,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,518.0,5.769940482665173,7.390373353519686,0.6503492917659687,0.6657766234854504,0.5260335947383981,0.3922399895486402,1.2104160665106658,0.4120010572469597,0.0770055271627888,0.3216646122455945,0.0752211601996554,0.1621261898526285,1221.8321053622406
22,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,598.0,5.115902193621122,7.85519792790893,0.2870385606531726,0.0641152236752147,0.5925252857677865,0.4029211367060431,1.2104160665106658,0.4379142563401462,0.0074157403911582,0.2852030623784544,0.0331996572114982,0.1871649836522623,1221.8321053622406
23,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,2086.0,5.4554594926373845,4.532782869998278,0.0951323862883307,2.078525543387274,0.8046794859410056,0.6914508177580068,1.9020823902310455,0.252695127211779,0.2404078928934592,0.3041328186300781,0.0110032694119472,0.6528865483254501,1221.8321053622406
24,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,660.0,5.0608546731868405,4.303091460736715,0.8645829046504754,2.496983066842827,0.553316565699747,0.4507660601627141,1.3833326474407608,0.2398902120972754,0.2888078232187902,0.2821342544126232,0.0999999999999999,0.2065700488469785,1221.8321053622406
25,2022-06-08_Image12,HeLa,Confined,0.172916580930095,0.0425444965204953,0.0425444965204953,0.0018100341841824,0.0003129849224954,27,8,3903805.0,"[-8.859430989360266, 9.078322381718548, -7.421571318811868, 7.293762299373748, -4.3229145232523765, 4.322914523252377]",17.937753371078813,14.715333618185616,5.896030893123404,$<5.0$,3362989,5047.0,5.843022488534752,5.826627310001917,1.2671379723834348,1.0231805350204357,1.1165815508024433,0.9287613248051,2.5937487139514266,0.3248248088523859,0.1183438314031985,0.3257388128635721,0.1465606092333852,1.5796349038343944,1221.8321053622406
26,2022-06-08_Image13,HeLa,Confined,0.172916580930095,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0003125118379087,28,7,3611532.0,"[-9.497195312099366, 8.337530123914755, -8.098225116614351, 8.257779147201243, -3.9770813613921865, 3.9770813613921865]",17.83472543601412,16.356004263815592,5.075317752290065,$<8.0$ -- $5.0$,3127555,1421.0,5.007806904080485,4.634124096315045,1.3413890156719404,0.7508386907041945,0.8437664165444045,0.6143587991491126,1.2104160665106654,0.2598371425980709,0.0943956915230622,0.2807896831407391,0.1686398760525211,0.4440793216683981,1128.646502986427
27,2022-06-08_Image13,HeLa,Confined,0.172916580930095,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0003125118379087,28,7,3611532.0,"[-9.497195312099366, 8.337530123914755, -8.098225116614351, 8.257779147201243, -3.9770813613921865, 3.9770813613921865]",17.83472543601412,16.356004263815592,5.075317752290065,$<8.0$ -- $5.0$,3127555,607.0,7.313393751945608,6.242596017367749,0.0850246616450416,1.613822580495197,0.5425875046654319,0.4532987460050137,1.0374994855805708,0.3500247895469091,0.2028903150136051,0.4100648354909621,0.0106893289222625,0.1896946856106387,1128.646502986427
28,2022-06-08_Image13,HeLa,Confined,0.172916580930095,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0003125118379087,28,7,3611532.0,"[-9.497195312099366, 8.337530123914755, -8.098225116614351, 8.257779147201243, -3.9770813613921865, 3.9770813613921865]",17.83472543601412,16.356004263815592,5.075317752290065,$<8.0$ -- $5.0$,3127555,1095.0,5.041606747254399,5.487393674753188,2.340092332574316,1.6109897546901764,0.9044354313253572,0.4615437451031203,1.0374994855805708,0.3076803001223866,0.2025341712051681,0.2826848535090847,0.2941971913487786,0.3422004625101308,1128.646502986427
29,2022-06-08_Image13,HeLa,Confined,0.172916580930095,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0003125118379087,28,7,3611532.0,"[-9.497195312099366, 8.337530123914755, -8.098225116614351, 8.257779147201243, -3.9770813613921865, 3.9770813613921865]",17.83472543601412,16.356004263815592,5.075317752290065,$<8.0$ -- $5.0$,3127555,445.0,4.228007234017881,2.364706359558732,0.2550739849351267,2.2782829471368053,0.4412520031761658,0.3917002699028571,1.210416066510665,0.1325900063918909,0.2864264947221607,0.2370660119880599,0.0320679867667878,0.1390677678694139,1128.646502986427
30,2022-06-08_Image13,HeLa,Confined,0.172916580930095,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0003125118379087,28,7,3611532.0,"[-9.497195312099366, 8.337530123914755, -8.098225116614351, 8.257779147201243, -3.9770813613921865, 3.9770813613921865]",17.83472543601412,16.356004263815592,5.075317752290065,$<8.0$ -- $5.0$,3127555,738.0,5.17279358539567,6.133545927589718,1.228938367399374,1.7727285146757603,0.550012743232094,0.5153197762722774,1.38333264744076,0.3439103085491908,0.2228680222492622,0.2900405506075307,0.154502542911164,0.2306337363766909,1128.646502986427
31,2022-06-08_Image13,HeLa,Confined,0.172916580930095,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0003125118379087,28,7,3611532.0,"[-9.497195312099366, 8.337530123914755, -8.098225116614351, 8.257779147201243, -3.9770813613921865, 3.9770813613921865]",17.83472543601412,16.356004263815592,5.075317752290065,$<8.0$ -- $5.0$,3127555,2754.0,2.073472009403409,5.063818493315599,1.556249228370855,1.1125638754522449,1.2404863842145,0.7657176811799405,1.5562492283708558,0.2839302747599411,0.1398719028296153,0.1162603829726693,0.1956521739130434,0.8606576016008223,1128.646502986427
32,2022-06-08_Image13,HeLa,Confined,0.172916580930095,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0003125118379087,28,7,3611532.0,"[-9.497195312099366, 8.337530123914755, -8.098225116614351, 8.257779147201243, -3.9770813613921865, 3.9770813613921865]",17.83472543601412,16.356004263815592,5.075317752290065,$<8.0$ -- $5.0$,3127555,492.0,6.705774771933478,5.199511640515344,0.4582199138409305,0.9809480664764236,0.4405684396270426,0.4016301840965899,1.2104160665106658,0.2915386423620425,0.1233251192695037,0.3759954026761933,0.0576075609477259,0.1537558242511273,1128.646502986427
33,2022-06-08_Image14_nr1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,29,8,3250140.0,"[-9.963326423050649, 10.652395018660123, -7.361859580782571, 7.834590515197316, -3.458331618601901, 3.4583316186019015]",20.61572144171077,15.196450095979888,5.01795371337148,$<5.0$,2826249,2553.0,5.084111101120528,4.868738068830427,0.796116412134044,1.4408957827978113,1.2502254266907606,0.7995637955726065,1.902082390231046,0.236166271580472,0.2083223851419317,0.2466133002182546,0.1151012250895548,1.0554129644165178,1343.6113952873875
34,2022-06-08_Image14_nr1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,29,8,3250140.0,"[-9.963326423050649, 10.652395018660123, -7.361859580782571, 7.834590515197316, -3.458331618601901, 3.4583316186019015]",20.61572144171077,15.196450095979888,5.01795371337148,$<5.0$,2826249,609.0,5.036772277839228,2.665000679496985,0.172916580930095,1.1470903767576033,0.673021463892292,0.5357443965469351,0.8645829046504754,0.1292703089257415,0.1658444740503713,0.2443170515317778,0.0249999999999999,0.2517612594319073,1343.6113952873875
35,2022-06-08_Image14_nr1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,29,8,3250140.0,"[-9.963326423050649, 10.652395018660123, -7.361859580782571, 7.834590515197316, -3.458331618601901, 3.4583316186019015]",20.61572144171077,15.196450095979888,5.01795371337148,$<5.0$,2826249,429.0,3.6339177727004777,6.243244298069273,0.0691484553029124,0.4281649252110688,0.5288836018376168,0.4882328693558223,0.8645829046504754,0.3028389918694587,0.0619033933744275,0.1762692507742247,0.0099973719887029,0.1773490645259248,1343.6113952873875
36,2022-06-08_Image14_nr1,HeLa,Confined,0.172916580930095,0.0488953416532649,0.0488953416532649,0.0023907544353895,0.000413401082811,29,8,3250140.0,"[-9.963326423050649, 10.652395018660123, -7.361859580782571, 7.834590515197316, -3.458331618601901, 3.4583316186019015]",20.61572144171077,15.196450095979888,5.01795371337148,$<5.0$,2826249,958.0,1.9649025788558003,5.76371581902658,2.0749989711611407,1.5073889085003624,1.057758773671935,0.5696755062550227,1.0374994855805704,0.2795786621061506,0.2179358538655344,0.0953108812811328,0.3,0.396038237332951,1343.6113952873875
