,Image name,Confiner_height,Condition,Number of total HP1a condensates,Volume nucleus (um3),Sphericity,Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Flatness nucleus (um),Elongation nucleus (um),Condensate volume fraction
7,2022-05-31_Image6_nr3,Non-confined,Non-Confined,7,1220.618767334692,0.4850079837212239,17.274027028567495,13.887913420267395,10.060875066687874,0.23683036796653156,0.10335258083256238,0.00596933365488782
8,2022-05-31_Image7,Non-confined,Non-Confined,7,791.2493505323257,0.5080507669418977,16.934054795611495,11.734681071056354,8.648213495337036,0.2853675696374611,0.16755573627504106,0.007672455634252496
9,2022-06-02_Image1,Non-confined,Non-Confined,5,794.2516348629987,0.2750249886928823,17.816095877028246,13.585940357688262,7.74520461158013,0.34065885630928705,0.12675002623527043,0.007010881039190244
10,2022-06-02_Image2,Non-confined,Non-Confined,13,992.9340251292916,0.3178219052162756,18.90000592351427,12.69055497209289,10.086622016301892,0.26946352773962257,0.18057475961044167,0.005825436742269263
11,2022-06-02_Image3,Non-confined,Non-Confined,14,1056.1330372664102,0.3034651108348639,18.24641652346378,15.65032233779695,8.343915784873166,0.32376730619121963,0.07386808364518338,0.011102967738866336
12,2022-06-02_Image4,Non-confined,Non-Confined,13,1920.9252437654,0.4099114361316013,19.696246400669985,15.638661431408858,12.224773594960276,0.21217695939317482,0.10893773086931569,0.007472500328720279
13,2022-06-02_Image5,Non-confined,Non-Confined,9,1369.668863175766,0.3203350003160243,20.854079814079192,14.709067134249928,11.698064367980386,0.251035061077613,0.16015904476323195,0.004677162074639606
14,2022-06-02_Image6,Non-confined,Non-Confined,10,1157.4806228160794,0.3231661145980667,21.649686271957663,14.605589857791962,8.599245291950512,0.3697623196769595,0.1786396258895374,0.005815385650462659
15,2022-06-02_Image7,Non-confined,Non-Confined,9,1042.3465357247296,0.3804902593873776,19.212487722378903,13.502898003168545,7.817735394944196,0.362105758034021,0.16165709715449683,0.007108481863196492
16,2022-06-02_Image8,Non-confined,Non-Confined,8,1285.4478357951446,0.31533520862338,20.311047478245555,14.939471150529576,8.326457405487796,0.3597287935117145,0.14236706349026795,0.004466906247538423
17,2022-06-02_Image9,Non-confined,Non-Confined,11,1268.968587989531,0.3516736332980344,18.96767699337888,16.508181089847895,8.205880404748605,0.3422580842485732,0.06708400431513473,0.006358753263015155
18,2022-06-03_Image1,Non-confined,Non-Confined,8,779.4138990994351,0.3908957248743377,16.882446845819796,12.46611369599098,7.750620086537696,0.3224356785509822,0.140693995975119,0.006625822464044138
19,2022-06-03_Image2,Non-confined,Non-Confined,3,1316.1097395977574,0.4213206460527827,16.393495476471223,14.111512707627517,10.964762044912495,0.18216852082513513,0.07220718913544133,0.0017308276137128027
20,2022-06-03_Image3,Non-confined,Non-Confined,11,2515.8173057708427,0.3651618717269521,22.06404274313521,16.455512639121388,14.437971323304971,0.19107074432747995,0.13639894713586598,0.0044620029698521765
21,2022-06-03_Image4,Non-confined,Non-Confined,17,1641.859419995199,0.4593549880880722,18.918205907822948,15.204865001385931,12.35936075106321,0.1917270767689887,0.10349790199165787,0.010336376569299933
