,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Size of estimated periphery,p_nuc_min_560
0,2023-10-03_Z_stack6_nuc29,1,HeLa,Confined,"[(37.177872529062135, 141.70626388945598, 84.62129687417976)]",171443.0,6.7188014277641175,0.12780709946502836,3,39,12,152,181,41,84.62129687417976,141.70626388945598,37.177872529062135,0.8049257246401186,0.11980198154300672,22.579559476893476,188.4740067407635,185.35101834087666,167052.20833333334,151.70757645163567,0.11190865694556411,131075.6202852752,0.7846386563398728,171443.0,190.0,107.88679619465361,67.0,19.1966893821644,15.539885020358433,6.011816339198091,86567,0.06720473083591502
1,2023-10-03_Z_stack6_nuc30,2,HeLa,Confined,"[(35.82729840328499, 108.76321850414497, 98.05944541094105)]",141979.0,5.978323451101776,0.10543929003883612,12,9,22,154,239,31,98.05944541094105,108.76321850414497,35.82729840328499,0.5818094382037478,0.09731983271940955,26.55850561863471,272.89921156366574,241.51811526260303,137093.20833333334,158.7753369661021,0.0919610016270528,139816.27422578086,1.0198628796098093,141979.0,182.0,107.19545144000169,84.0,25.452917186615927,15.040263498286468,6.097046806300369,87085,0.7355710694980072
2,2023-10-03_Z_stack7_nuc31,3,HeLa,Confined,"[(47.07983829301234, 103.4702736510066, 75.760485120963)]",110323.0,4.9610446867767255,0.18393017565380274,0,14,33,139,175,29,75.760485120963,103.4702736510066,47.07983829301234,0.5493056671543263,0.11072378941041529,23.598726190278004,213.1314897723161,192.77188591700815,109791.20833333333,117.07433518097756,0.1651448749074551,67142.48343155706,0.6115469940699447,110323.0,251.0,114.25842299429856,73.0,20.33477912712285,11.774623143300833,5.584668769508921,46139,0.9754538785556212
3,2023-10-03_Z_stack8_nuc32,4,HeLa,Confined,"[(58.41274672068378, 98.26769101553815, 98.97844420839407)]",202405.0,4.8011058302574305,0.14802643752703018,41,5,42,132,184,34,98.97844420839407,98.26769101553815,58.41274672068378,0.6448085920018973,0.134304182161159,27.643519088448812,205.82768640277953,186.56902208030144,201040.33333333334,132.71946066438434,0.1318196184514537,125900.13757579708,0.6262431796063994,202405.0,197.0,110.19021763296361,80.0,19.362794090440865,13.837875033190357,6.255150835868639,87569,1.1792528910239706
4,2023-10-03_Z_stack8_nuc33,5,HeLa,Confined,"[(58.80745916168407, 83.05034443198437, 112.01157580862707)]",193507.0,4.482077551820592,0.1368302095311167,15,8,44,195,154,30,112.01157580862707,83.05034443198437,58.80745916168407,0.5228468631862805,0.11665279262602367,26.241755307750314,224.95608306505412,208.87316725707015,192087.83333333334,117.6175823852359,0.12145557756316865,132556.15541046986,0.6900809546872386,193507.0,196.0,108.31850527371103,63.0,21.85721363146497,12.992280611597947,6.031593771615249,89796,0.5711209272085377
5,2023-10-03_Z_stack9_nuc34,6,HeLa,Confined,"[(46.49271905796417, 86.73243128364976, 118.45884103145367)]",127044.0,5.210347395735916,0.1504032814732007,18,8,32,189,160,33,118.45884103145367,86.73243128364976,46.49271905796417,0.7482328876974157,0.1436051823165889,30.445980300072815,212.01171022472062,193.89430110243055,125476.54166666667,158.6341341671104,0.1339717131544188,90471.69086881465,0.7210247402989176,127044.0,195.0,112.78833317590755,78.0,20.043801040134227,13.700045685422076,6.8118103114142805,61300,1.6202010356433019
6,2023-10-03_Z_stack9_nuc35,7,HeLa,Confined,"[(48.82830342952163, 54.25009876066845, 98.70507767641412)]",108849.0,5.61108775594552,0.15465628664644518,3,0,35,185,131,29,98.70507767641412,54.25009876066845,48.82830342952163,0.6499925239134424,0.11584073395121948,24.34459750854422,210.1557602250321,187.00267377767625,107473.29166666667,136.59967300361686,0.13758696028950587,79452.4357222753,0.7392760981835438,108849.0,180.0,110.95339415153101,86.0,19.642114722042397,13.853392378937784,5.733363884048099,53089,1.2623931686774152
