,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Physical pixel size X,Physical pixel size Y,Physical pixel size Z,Pixel size (um2),Voxel size (um3),Size of estimated periphery,p_nuc_min_488
0,2023-10-03_Z_stack6_nuc29,1,HeLa,Confined,"[(37.73505368981814, 136.54436298659007, 78.50123578430554)]",239524.0,7.329869607779227,0.34140840303122555,7,44,25,145,172,27,78.50123578430554,136.54436298659007,37.73505368981814,0.7618983932110658,0.10394433107001666,18.02051480872565,173.36698041365116,178.11513130556875,239925.91666666666,132.08802381301513,0.31070127414157456,60097.886442806455,0.25048518008290666,239524.0,349.0,128.04204589101718,62.0,18.37685549535866,14.682919514622082,4.856634763264141,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,47486,0.38273456197893124
1,2023-10-03_Z_stack6_nuc30,2,HeLa,Confined,"[(37.37000470448731, 126.3716093857744, 90.43667953419131)]",155171.0,7.555859209444716,0.12636916488702823,15,13,25,147,232,26,90.43667953419131,126.3716093857744,37.37000470448731,0.5230882769669785,0.06922948965395308,16.728518199606427,241.63861792459727,235.77955806218657,152805.5,126.39832829885962,0.11181243290374818,123619.41518413111,0.8089984665743779,155171.0,327.0,128.17562560014434,71.0,24.521950952853324,14.081639835579407,5.00841021165936,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,81257,0.10836002446482819
2,2023-10-03_Z_stack7_nuc31,3,HeLa,Confined,"[(47.64583034141843, 106.67432596881353, 74.26703501863176)]",132301.0,5.21523734757633,0.15023539209735826,0,16,35,138,172,26,74.26703501863176,106.67432596881353,47.64583034141843,0.5034029633015307,0.09652541768506022,18.890295693990705,195.70281224397604,189.203594046202,130914.83333333333,98.51737561006061,0.13303488901745789,93722.63227782089,0.7159053706250824,132301.0,244.0,115.47608861611023,80.0,19.841248886412053,11.09963947804943,5.019300954006192,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,64517,0.17376549084719825
3,2023-10-03_Z_stack8_nuc32,4,HeLa,Confined,"[(58.84211570422815, 99.68705722611391, 98.79890405886165)]",226837.0,5.767504973906801,0.1788027633059404,43,9,43,127,180,30,98.79890405886165,99.68705722611391,58.84211570422815,0.6231811595314485,0.10805038961402376,20.39092386781029,188.7168009356606,182.12632978237934,226703.625,117.6047548301505,0.15961020166360515,112649.46181533275,0.4969018991881261,226837.0,288.0,115.89248667545418,45.0,18.820411934850632,13.123961709494509,5.392119158153501,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,84712,0.05530623850935687
4,2023-10-03_Z_stack8_nuc33,5,HeLa,Confined,"[(58.328935962990016, 83.66079863647431, 109.31776479181885)]",205350.0,5.359939834902444,0.21884112898654967,18,12,46,188,148,26,109.31776479181885,83.66079863647431,58.328935962990016,0.4835638523076482,0.09021814930809716,18.6730709638808,206.97687889951953,203.6025540114858,205800.41666666666,100.08653689926525,0.19712316838443975,85515.3255295684,0.4155255218364155,205350.0,257.0,120.23065984903823,72.0,21.095576934139586,11.13579586132802,5.038751844593232,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,66076,0.19941867703873078
5,2023-10-03_Z_stack9_nuc34,6,HeLa,Confined,"[(48.752297965963145, 87.80837964049985, 108.16653187585331)]",114993.0,6.257821716253013,0.1180744291298664,19,11,34,185,155,30,108.16653187585331,87.80837964049985,48.752297965963145,0.6705052847172635,0.10714675411346598,21.08575265930498,196.79320044521037,187.88028103023478,112718.95833333333,131.95088089493728,0.10406876257348943,108433.05946018935,0.9619771249085741,114993.0,302.0,122.89859382745037,74.0,19.550123580229126,12.978978728447093,5.851322864389916,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,68740,0.2226626776606511
6,2023-10-03_Z_stack9_nuc35,7,HeLa,Confined,"[(49.49280670122455, 59.47862043923572, 91.40628678035709)]",159732.0,5.840824889159122,0.1311091834702367,6,0,34,181,131,29,91.40628678035709,59.47862043923572,49.49280670122455,0.6610364553990654,0.11317518808447581,19.960393909190984,176.36722542305137,183.56742630434192,158600.70833333334,116.58516554222182,0.115744619641609,122420.28722959867,0.7718773044336361,159732.0,311.0,115.01973305286354,75.0,18.875640652796694,13.261308400792132,5.452857308306614,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,84178,0.13942817168896662
