,Image_name,Volume_agg_SITK (nm^3),Centroid,bbox_agg_0,bbox_agg_1,Aggregate ID,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,r_agg_dist_488,r_agg_dist_560,r_agg_dist_405,p_agg_min_488,p_agg_min_560,p_agg_min_405
0,2023-10-03_Z_stack2_nuc19,495.0,"(64.38181818181818, 152.03434343434344, 144.5878787878788)",140,148,1,60,10,9,10,144.5878787878788,152.03434343434344,64.38181818181818,0.8066756307594368,0.7074237946097699,7.4853447441396135,10.581132273432631,12.041594578792296,485.3333333333333,8.535541550820303,0.9033604640862463,330.610359940111,0.6812026647117672,495.0,259.0,156.64040404040404,110.0,3.9615539706321194,4.7024019866072395,4.093185691252387,0.6644274035952301,0.101995771361235,0.39482751022455087
1,2023-10-03_Z_stack2_nuc19,853.0,"(67.03751465416178, 164.83704572098475, 115.33411488862836)",109,160,2,62,14,11,12,115.33411488862836,164.83704572098475,67.03751465416178,0.8196875170946165,0.6757890736542531,8.688256626320829,12.856462119667105,15.0,840.1666666666666,10.53828151349092,0.8877342001064623,485.0406505565743,0.5773147993135184,853.0,228.0,155.4314185228605,107.0,4.72726699886301,4.709945900869047,3.8101999840698024,0.9631864418855514,0.09802135544303499,1.279235377224727
2,2023-10-03_Z_stack2_nuc19,616.0,"(69.9853896103896, 75.75324675324676, 173.6038961038961)",169,72,3,65,11,9,11,173.6038961038961,75.75324675324676,69.9853896103896,0.8006936843697733,0.7336153614145443,8.280998083508571,11.287928959858878,13.152946437965905,605.5833333333334,9.038173427773668,0.9061181336397325,382.01631601006267,0.6308236950764761,616.0,239.0,157.36201298701297,110.0,7.261258056407139,7.966102166884105,8.567619187657385,0.7326420023309073,0.294645013921483,0.17183681762395742
3,2023-10-03_Z_stack2_nuc19,627.0,"(71.89473684210526, 119.8883572567783, 55.22647527910686)",50,115,4,67,12,10,10,55.22647527910686,119.8883572567783,71.89473684210526,0.8269696716595898,0.7321682954552794,8.236469491003248,11.249421126438722,12.806248474865697,615.7083333333334,9.302930095291483,0.9032847145967379,387.47422450588346,0.629314569137254,627.0,229.0,155.97448165869218,118.0,7.803828682967706,6.68858114527039,6.916894057005341,0.7168886664792314,0.3586824426589973,0.4499025299884492
4,2023-10-03_Z_stack2_nuc19,500.0,"(72.886, 158.502, 83.416)",79,155,5,68,10,8,11,83.416,158.502,72.886,0.9563307623361,0.8009102978951117,7.716689137161376,9.634898137084466,11.357816691600547,489.75,9.214149480468658,0.910208219558214,330.11075045460524,0.6740393066964885,500.0,241.0,155.37,112.0,6.043382666972977,5.335732936108411,4.734149494685279,0.7365366404079262,0.37672426439426177,1.1093710477668892
5,2023-10-03_Z_stack2_nuc19,424.0,"(74.17924528301887, 107.72877358490567, 105.14386792452831)",101,104,6,70,9,8,10,105.14386792452831,107.72877358490567,74.17924528301887,0.9237576092142938,0.8336938413564698,7.578533617970646,9.090307786896828,10.488088481701515,414.6666666666667,8.397240988245892,0.929755564147471,289.2331642349522,0.6975076307916853,424.0,238.0,157.58490566037736,117.0,3.034077973934195,2.1462311062213955,2.98417429294543,0.7772457919017305,0.05437102785911519,0.6221109476754346
6,2023-10-03_Z_stack2_nuc19,797.0,"(75.49058971141781, 139.13927227101632, 35.099121706398996)",30,134,7,70,11,11,12,35.099121706398996,139.13927227101632,75.49058971141781,0.8284238388659038,0.811806600366528,9.534762195417372,11.745115389690671,13.601470508735444,785.3333333333334,9.72993357905055,0.9136540997532578,450.54516981727903,0.5736992824498459,797.0,262.0,160.5181932245922,110.0,10.149810501374242,9.093342891919287,9.042970462361732,0.7919462442703187,0.11918812128529821,0.1790848814947404
7,2023-10-03_Z_stack2_nuc19,356.0,"(77.26404494382022, 94.36516853932584, 139.42977528089887)",135,91,8,73,9,8,9,139.42977528089887,94.36516853932584,77.26404494382022,0.932369822641289,0.8852038618881749,7.421421920990902,8.383856239805274,9.899494936611665,347.3333333333333,7.816854555357309,0.9215942343727977,259.2837812455754,0.7464984104958986,356.0,237.0,157.93820224719101,115.0,3.7393395672785155,4.141314796748704,4.817960922247649,0.6306609134622044,0.5495372427742709,0.2775494671253535
8,2023-10-03_Z_stack3_nuc20,936.0,"(54.136752136752136, 122.99252136752136, 96.36004273504274)",90,117,9,49,13,13,12,96.36004273504274,122.99252136752136,54.136752136752136,0.9050608044002598,0.7712640278000521,9.452793648071873,12.256235617567894,14.212670403551895,922.9583333333334,11.092638466955114,0.9016305077942877,508.4445422534199,0.5508856942838734,936.0,242.0,163.6741452991453,112.0,5.906611214105261,5.708509449881302,6.437587951525263,0.7114165446466085,0.07668998528538006,0.672941591502443
9,2023-10-03_Z_stack3_nuc20,821.0,"(54.35200974421437, 74.32643118148599, 231.5359317904994)",227,68,10,50,10,13,10,231.5359317904994,74.32643118148599,54.35200974421437,0.7755291584896118,0.7348489170688559,9.228511115126521,12.558378873220551,14.247806848775006,809.0,9.739388999542452,0.9093757341820491,461.71407186203993,0.5707219676910259,821.0,266.0,166.82825822168087,112.0,10.519123507685503,10.47753027392332,9.88984955349142,0.5988032147305798,0.3146216949317684,0.7473703472198158
10,2023-10-03_Z_stack3_nuc20,1534.0,"(56.40677966101695, 77.68383311603651, 35.15906127770535)",28,71,11,50,16,14,14,35.15906127770535,77.68383311603651,56.40677966101695,0.7483752962139454,0.7141770514467021,11.290191746556278,15.808673386642486,18.0,1518.9583333333333,11.830820628478085,0.8987318536160565,711.0244970281732,0.46810006662120857,1534.0,288.0,172.15840938722295,108.0,10.842175317644804,10.999298272527328,11.458208827663066,0.814814524761305,0.40844053139836684,0.9605262657896293
11,2023-10-03_Z_stack3_nuc20,432.0,"(54.9837962962963, 102.14351851851852, 149.35416666666666)",145,98,12,51,9,10,9,149.35416666666666,102.14351851851852,54.9837962962963,0.858187498689306,0.7495571649453046,7.286921719224718,9.721635733755475,11.224972160321824,422.8333333333333,8.342986253520186,0.9108824466778911,299.0895706955034,0.7073462452396613,432.0,231.0,159.6875,115.0,2.4783927675071102,2.1658998841508743,2.215025722613152,0.69877088599449,0.9390794592029253,0.3426190296041005
12,2023-10-03_Z_stack3_nuc20,301.0,"(55.46511627906977, 44.78737541528239, 147.19269102990035)",143,41,13,52,9,8,8,147.19269102990035,44.78737541528239,55.46511627906977,0.9377152169305105,0.8420674254566222,6.772844768118693,8.043114557537988,9.539392014169456,292.2916666666667,7.542150912118682,0.9155134249818992,232.6467713399374,0.7959404864089091,301.0,248.0,164.4451827242525,126.0,4.503396016254568,4.9031746632525754,4.277272816344859,0.5630789300390802,1.3664948799765513,0.2264992001455658
