,Image_name,Volume_agg_SITK (nm^3),Centroid,bbox_agg_0,bbox_agg_1,Aggregate ID,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,r_agg_dist_488,r_agg_dist_560,r_agg_dist_405,p_agg_min_488,p_agg_min_560,p_agg_min_405
0,2023-10-03_Z_stack3_nuc11,1920.0,"(26.6171875, 63.946354166666666, 101.44114583333334)",95,55,1,18,15,17,17,101.44114583333334,63.946354166666666,26.6171875,0.912182121749223,0.8290690927954744,12.724806225327422,15.348306113332033,18.275666882497067,1903.5416666666667,14.000450435715782,0.8791002688499489,844.9298175826843,0.4438725100576649,1920.0,759.0,449.9390625,286.0,4.628472250879185,4.7910105853109695,4.718442621356378,3.3325968315235657,1.3689420512683912,3.024049870085174
1,2023-10-03_Z_stack3_nuc11,1247.0,"(24.340016038492383, 102.24137931034483, 37.28067361668003)",31,96,2,18,14,13,14,37.28067361668003,102.24137931034483,24.340016038492383,0.7877601972863651,0.7600435069286833,10.792934010050406,14.200416044160919,16.401219466856727,1232.9166666666667,11.18652254449667,0.9015080928812015,616.7895073760878,0.5002686102408282,1247.0,943.0,486.2165196471532,254.0,6.044051031052441,6.414481303744958,5.754733882095017,2.0939579197863045,0.13956400662366603,1.9118506033503393
2,2023-10-03_Z_stack3_nuc11,830.0,"(26.56144578313253, 77.19759036144578, 115.21204819277108)",111,71,3,22,11,14,10,115.21204819277108,77.19759036144578,26.56144578313253,0.6671643558174302,0.6467418770916834,8.959428017871945,13.85317440423274,15.165750888103101,817.625,9.242344177426448,0.875593223141834,482.9303588395123,0.5906501866253017,830.0,660.0,444.20722891566265,289.0,3.968677567933593,3.926722033827319,4.222736011852395,3.1600024831164135,0.7393677579165046,2.5301155616020647
3,2023-10-03_Z_stack3_nuc11,943.0,"(28.78154825026511, 133.46341463414635, 99.33404029692471)",94,128,4,23,12,13,12,99.33404029692471,133.46341463414635,28.78154825026511,0.907008180798533,0.7096485098702499,8.998611734616397,12.680378538752484,14.628738838327793,930.4166666666666,11.50120707027065,0.8940380892120524,515.5210742267432,0.554075494018891,943.0,803.0,457.9554612937434,288.0,3.122741974837142,2.8243417896408545,3.2858769202341604,2.5111541662596193,1.1311713190274397,2.474306673525974
4,2023-10-03_Z_stack3_nuc11,1362.0,"(30.602055800293687, 66.99559471365639, 126.72760646108664)",118,58,5,24,16,18,15,126.72760646108664,66.99559471365639,30.602055800293687,0.5586677146029824,0.4145933635897988,8.809682394116837,21.24897108298432,23.727621035409346,1414.6666666666667,11.871114112595707,0.7735234637246089,787.8557571149926,0.5569197152085245,1362.0,689.0,431.8568281938326,273.0,5.623029363360029,5.59334270022711,5.813017721021199,2.4154544936464517,1.347504858309456,2.7431121250850703
5,2023-10-03_Z_stack3_nuc11,886.0,"(28.817155756207676, 144.00225733634312, 84.04401805869074)",75,140,6,24,17,10,11,84.04401805869074,144.00225733634312,28.817155756207676,0.5622389258037147,0.5034749908836214,8.414532217906904,16.71291001592556,19.026297590440446,871.9166666666666,9.396648574408129,0.8233878762484038,536.0389024299445,0.6147822640886299,886.0,812.0,452.6060948081264,283.0,4.263729387581259,4.138120393330028,4.25733810690633,2.692632570492851,1.1921566230008194,2.8624877587435367
6,2023-10-03_Z_stack3_nuc11,1635.0,"(32.81957186544342, 142.67094801223243, 46.47645259938838)",39,137,7,25,16,12,16,46.47645259938838,142.67094801223243,32.81957186544342,0.8159267756674847,0.6992676877366505,11.048198366347284,15.79966951155352,17.944358444926362,1620.0,12.891373401173727,0.8977489394613865,743.0292322317713,0.4586600198961551,1635.0,1057.0,504.6159021406728,249.0,6.478428917241354,6.673560083484894,6.1833400878901825,2.0926476034679085,0.8541192772272325,2.4805953241453036
7,2023-10-03_Z_stack3_nuc11,1299.0,"(33.35257890685143, 152.6381832178599, 75.64203233256352)",67,146,8,27,17,13,13,75.64203233256352,152.6381832178599,33.35257890685143,0.7254610129816741,0.6791145018558677,10.509484097911749,15.4752756261156,18.275666882497067,1284.5416666666667,11.226709131892434,0.8764101416121985,652.0419347168794,0.5076066830972494,1299.0,839.0,458.06389530408006,270.0,5.5449992099152965,5.51369398516391,5.415527366199767,2.0335658994927894,0.6609605101565295,2.3305355561007137
8,2023-10-03_Z_stack3_nuc11,709.0,"(35.334273624823695, 40.24541607898448, 157.78561354019746)",152,36,9,30,12,10,11,157.78561354019746,40.24541607898448,35.334273624823695,0.8683741879526917,0.7912803344426852,8.877737097398864,11.21945878214152,13.0,698.1666666666666,9.742688409210839,0.9120678172106278,417.2820783289174,0.5976826139826938,709.0,771.0,475.4428772919605,264.0,10.15497145397203,10.104923668588716,10.326243935176745,1.046157942027561,0.08764505722871223,1.0155077484821502
9,2023-10-03_Z_stack3_nuc11,991.0,"(35.590312815338045, 129.52573158425832, 17.212916246215944)",11,124,10,30,13,12,12,17.212916246215944,129.52573158425832,35.590312815338045,0.9516218797697694,0.8448914080608287,10.058130879387255,11.9046433463827,13.96424004376894,977.75,11.328719079273382,0.9167485055362816,519.6598100621218,0.5314853593066957,991.0,820.0,476.9112008072654,284.0,8.712792842331421,9.050402952791469,8.320968703136119,1.4638570641771869,0.1731359860612637,1.8013012252253553
