,Image_name,Volume_agg_SITK (nm^3),Centroid,bbox_agg_0,bbox_agg_1,Aggregate ID,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,r_agg_dist_488,r_agg_dist_560,r_agg_dist_405,p_agg_min_488,p_agg_min_560,p_agg_min_405
13,2023-10-03_Z_stack7_nuc31,495.0,"(41.99393939393939, 109.81010101010101, 71.79797979797979)",68,105,14,38,9,10,10,71.79797979797979,109.81010101010101,41.99393939393939,0.8713533228028134,0.850439026429557,8.248452350292895,9.699052011903554,11.357816691600547,485.2083333333333,8.451301198609475,0.9182679063992214,325.187282427928,0.6702013549394823,495.0,222.0,143.41616161616162,106.0,1.4236573371928343,1.4647482485516956,1.6572446148110158,0.6112655025744955,0.27107325494548545,0.7051077264577206
14,2023-10-03_Z_stack7_nuc31,373.0,"(42.520107238605895, 123.83914209115281, 20.42627345844504)",16,120,15,39,9,9,8,20.42627345844504,123.83914209115281,42.520107238605895,0.9681092685795276,0.9547048415155815,7.829671211110244,8.201143296477625,9.643650760992955,364.125,7.939602838268849,0.929894651619701,265.1860695131518,0.7282830607982198,373.0,185.0,142.15817694369974,107.0,6.242519573534955,6.478902182841991,5.964057780631681,0.6046626913731968,0.12529902053804778,0.5153218161231473
15,2023-10-03_Z_stack7_nuc31,702.0,"(51.103988603988604, 120.9002849002849, 65.92450142450143)",61,116,16,46,11,11,11,65.92450142450143,120.9002849002849,51.103988603988604,0.9059989148117854,0.8809325703694605,9.367510393041579,10.63362930163074,12.569805089976535,690.25,9.634056607788255,0.9113371997507062,414.4536512041712,0.6004399148195164,702.0,244.0,145.45441595441596,104.0,1.9694679974234426,2.3729287494834743,1.5759001497259262,0.5588143982537531,1.0659435273458797,0.7385951996020497
16,2023-10-03_Z_stack7_nuc31,367.0,"(50.80108991825613, 62.643051771117165, 109.53133514986376)",106,59,17,47,8,9,9,109.53133514986376,62.643051771117165,50.80108991825613,0.9548453197571322,0.8436058073684968,7.200703121137246,8.535625357533718,10.246950765959598,357.5416666666667,8.150201923841367,0.9144545643632013,266.4034016949593,0.745097499205107,367.0,230.0,144.58038147138964,101.0,6.156181770498918,5.807281698726847,6.465467324379167,0.5295549856112687,0.07968419517155027,1.3027518041626218
17,2023-10-03_Z_stack7_nuc31,482.0,"(51.0746887966805, 139.29045643153526, 80.81535269709543)",76,135,18,47,11,9,9,80.81535269709543,139.29045643153526,51.0746887966805,0.8339633044602496,0.7726983625851187,7.8065056557513355,10.102914712584742,11.874342087037917,472.1666666666667,8.425460138387244,0.895947925709257,327.28912290656257,0.6931643972606337,482.0,217.0,141.75933609958506,94.0,3.695602932416059,4.033372060838927,3.543361529004583,0.5632574681712686,1.158463672397189,0.35736691956830974
18,2023-10-03_Z_stack7_nuc31,352.0,"(52.57386363636363, 146.53977272727272, 66.10511363636364)",62,143,19,49,9,8,9,66.10511363636364,146.53977272727272,52.57386363636363,0.9724007474074308,0.8896999545786562,7.309627985064686,8.215834953623636,9.643650760992955,342.5833333333333,7.989084049479718,0.9187139655252896,257.71990352490855,0.7522838341763325,352.0,213.0,143.95170454545453,107.0,4.5629345860778106,4.958722945153969,4.268769614457207,0.5975412867851482,1.600733413134185,0.6796847786535354
19,2023-10-03_Z_stack7_nuc31,385.0,"(52.91168831168831, 167.93766233766235, 46.137662337662334)",42,164,20,49,9,9,9,46.137662337662334,167.93766233766235,52.91168831168831,0.8979728372555702,0.877160111313216,7.671843783753634,8.746229661843543,10.04987562112089,375.875,7.853876664734473,0.9048413424167016,278.36031321889845,0.7405661808284628,385.0,225.0,144.3220779220779,103.0,7.409362541083228,7.810059284149356,7.0748776509061955,0.5456902666466001,0.939711229378112,0.5117753504172041
20,2023-10-03_Z_stack8_nuc32,426.0,"(51.328638497652584, 96.97417840375587, 80.13615023474179)",76,93,21,47,9,9,10,80.13615023474179,96.97417840375587,51.328638497652584,0.9490576907520413,0.9028589206758325,7.937444192081747,8.791455686277315,10.488088481701515,416.4583333333333,8.343598631967252,0.9067330358710076,297.4306520729058,0.7141906603051265,426.0,237.0,153.1267605633803,105.0,2.724542054189613,2.6597722831056823,3.08843283574317,0.5339252703414263,0.12239825587629594,0.3200388859724968
21,2023-10-03_Z_stack8_nuc32,467.0,"(56.349036402569595, 124.93361884368308, 130.6830835117773)",127,120,22,52,9,10,10,130.6830835117773,124.93361884368308,56.349036402569595,0.8512099806152708,0.8045924639500589,7.859607903697658,9.768433406785556,11.357816691600547,456.6666666666667,8.314988010831497,0.916139024359525,313.0321541081765,0.6854718703098754,467.0,239.0,152.93790149892934,106.0,4.444937986643538,4.513877363553189,4.154688896204885,0.5819277651871826,0.11198937601909113,1.0743977973633714
22,2023-10-03_Z_stack8_nuc32,944.0,"(62.16313559322034, 76.96822033898304, 55.63771186440678)",50,71,23,56,12,13,13,55.63771186440678,76.96822033898304,62.16313559322034,0.9091744382553167,0.8529531331786486,10.112093963839225,11.855392248991569,13.92838827718412,930.9583333333334,10.778619588273347,0.907011090035382,508.3447661478904,0.5460445950655404,944.0,288.0,156.85487288135593,106.0,5.342163342713108,5.306878027309795,5.6231434936613125,0.679372286376601,0.0555357140088167,0.6523914110409179
