,index,Image name,Cell line,Condition,Number of voxels nucleus,Number of total HP1a condensates,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3),Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Volume nucleus (um3)
8,6,2023-04-28_Image10_conf_imm,IMR90,Confined_immediate,707054.0,3,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.72217405482766,15.810917622590168,4.2,758.0376734332475
9,9,2023-04-28_Image11_conf_imm,IMR90,Confined_immediate,774217.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.9234091115827,17.53111701675938,4.4,830.0436082851785
10,15,2023-04-28_Image12_conf_imm,IMR90,Confined_immediate,774217.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.9234091115827,17.531117016759378,4.4,830.0436082851785
11,21,2023-04-28_Image13_conf_imm,IMR90,Confined_immediate,568436.0,5,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,24.06895543935721,13.389055252146562,4.6000000000000005,609.4243196922745
12,26,2023-04-28_Image14_conf_imm,IMR90,Confined_immediate,795316.0,5,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.17813954315559,17.196971149961932,5.6,852.663997777025
13,31,2023-04-28_Image15_conf_imm,IMR90,Confined_immediate,435561.0,4,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,18.030140212446348,15.0791059984619,4.0,466.96807751354027
14,35,2023-04-28_Image16_conf_imm,IMR90,Confined_immediate,776237.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.559295649729638,16.540822153899363,5.4,832.2092647984507
0,0,2023-04-28_Image17_conf_10m,IMR90,Confined_15m,714471.0,3,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.400654285738845,16.28777538010775,4.2,765.9894924228216
1,3,2023-04-28_Image18_conf_10m,IMR90,Confined_15m,690928.0,4,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.577232697383096,16.237723078653524,4.2,740.7488729713527
2,7,2023-04-28_Image19_conf_10m,IMR90,Confined_15m,644450.0,2,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,22.51122981614514,13.277076896717796,4.4,690.919475236766
