,Image_name_x,Condition,Number of total aggregates,Voxel size (um3),z_length_x,x_length_x,y_length_x,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Sphericity_x,Volume_nucleus_um3,Elongation_x,Surface_area_nucleus_um3,M1 perc,M2 perc
0,2022-12-21_Z_stack1_IMR90,Non-Confined,12,0.0117361116979166,35.0,16.623646686440033,10.94550358927073,198927.0,3.6908701525548655,0.1890039941134254,2334.6294917314553,0.61415180668901,1023.7043017766232,6.19917012448132,7.27715538236726
1,2023-02-03_Z_stack8_IMR90,Non-Confined,15,0.0028166668075,8.16000000000001,19.04718299391993,13.324171542484926,361131.0,4.232270416561668,0.4484724385063484,1017.1857008592824,0.6653317240074733,641.9153155180765,38.45301418439716,14.59454912516823
2,2023-02-17_Z_stack10_IMR90,Non-Confined,10,0.0117361116979166,57.0,23.25442252540465,10.68628839446702,529705.0,2.0932467392349383,0.3323149721319935,6216.677046944913,0.4167915671682439,1112.251684267615,1.17290192113245,1.2369375133290599
3,2022-12-21_Z_stack2_IMR90,Non-Confined,23,0.0028166668075,7.199999999999999,21.14008962338504,12.196987334785948,297399.0,4.461029551727155,0.3624028803056511,837.6738918836925,0.5347972396782433,697.77401294998,14.857614527445309,10.98565761367104
4,2023-02-17_Z_stack4_IMR90,Non-Confined,25,0.0117361116979166,38.0,23.094234054960676,14.00552997200452,348596.0,4.966365839981646,0.1760932513486018,4091.161593446935,0.5661206185536255,1609.074073243359,1.95185900003641,13.25092707045735
5,2023-02-17_Z_stack3_IMR90,Non-Confined,28,0.0028166668075,11.52,21.30956137372036,12.373340560411355,458969.0,3.034136015524225,0.2986897273046709,1292.7627479714674,0.5679313237744373,1132.3652977229108,3.4974626251542897,18.90756302521008
6,2023-02-17_Z_stack2_IMR90,Non-Confined,23,0.0028166668075,14.16000000000002,20.875298731154004,14.619047027727746,538609.0,2.6144887092514018,0.2745923803938275,1517.0820925207674,0.7006083172933809,1366.9839566889382,4.98108015135878,6.2301006798038
7,2023-02-17_Z_stack1_IMR90,Non-Confined,43,0.0028166668075,7.679999999999999,28.748130400490204,16.881262784483916,464917.0,6.982733635184194,0.2421861402268182,1309.5162821424774,0.5441682313807267,1399.4955772949206,8.32586468640828,20.41713388652164
8,2023-02-03_Z_stack10_IMR90,Non-Confined,8,0.0117361116979166,34.0,18.30679829705344,11.423562198485545,202222.0,4.281044027970727,0.4011955530582511,2373.299979776091,0.587619787290254,487.56330921589597,24.74979713281038,7.18887492143306
9,2023-02-03_Z_stack9_IMR90,Non-Confined,17,0.0117361116979166,28.0,20.300509132767534,15.324257763133703,344091.0,6.620583881635243,0.3524958870451982,4038.290410247821,0.7239918005887743,789.2703091894241,21.71542920231852,40.92859929769801
10,2023-02-17_Z_stack8_IMR90,Non-Confined,18,0.0028166668075,13.92,30.472703323984884,16.721614802464323,545016.0,6.048626646413252,0.1266951284403119,1535.1284767564198,0.53910302438832,2983.2909296424737,7.40536059684995,7.61579994316567
11,2023-02-03_Z_stack7_IMR90,Non-Confined,22,0.0028166668075,7.19999999999999,20.087119398087797,15.072216718570733,395028.0,5.448092370125833,0.4184055109525014,1112.66225563311,0.7312089051640158,728.8606702515257,33.88031358036714,22.6652333952246
12,2023-02-03_Z_stack4_IMR90,Non-Confined,17,0.0117361116979166,19.0,15.123699179479946,12.200270954272142,131965.0,7.34783522809807,0.3739322167368343,1548.755980215564,0.7989264451570268,392.6355028713354,8.23131737621048,48.31099195710456
13,2023-01-12_Z_stack9_IMR90,Non-Confined,10,0.0028166668075,7.920000000000004,14.857167145593866,9.751981092525025,218717.0,2.7248298153234467,0.5523094468636012,616.0529141359774,0.6380033427572985,373.1221070691024,7.763543756752581,7.89391086001255
14,2023-01-12_Z_stack7_IMR90,Non-Confined,11,0.0028166668075,7.679999999999992,18.590002654695603,11.200926862726636,283610.0,3.604284591803349,0.4908278575258545,798.834873275075,0.568052687799762,499.15491918234426,9.14654879292757,3.71632512088418
15,2023-01-12_Z_stack4_IMR90,Non-Confined,11,0.0117361116979166,32.0,16.74965863276894,10.308130964178602,229075.0,2.881053616462568,0.5843511601166943,2688.4497872002453,0.6185179254948113,363.5114676933031,7.52847211950894,9.752826211917991
16,2023-01-12_Z_stack2_IMR90,Non-Confined,15,0.0117361116979166,30.0,15.50423214904351,11.768835985349652,274400.0,3.639074180178719,0.6243293789456951,3220.389049908315,0.7429824989045446,383.7507261739013,1.1276782358100401,1.10078277886497
17,2023-01-05_Z_stack3_IMR90,Non-Confined,18,0.0117361116979166,49.0,23.9301465573708,14.49667093853337,735497.0,3.0049892366307454,0.4286149539207528,8631.874945482565,0.5826816700386007,1076.1819633923712,8.12060673325934,5.10020331106593
18,2023-02-03_Z_stack6_IMR90,Non-Confined,22,0.0028166668075,7.680000000000001,25.109927567454022,14.930572855723025,401596.0,5.441354101524963,0.3543080006124028,1131.1621232247699,0.5714526376693381,871.7777430134747,20.08653467942834,18.18181818181818
19,2023-02-17_Z_stack7_IMR90,Confined,5,0.0028166668075,12.0,17.269642580564486,13.815946736877104,232614.0,3.6329133682626624,0.1726531948873015,655.196132759805,0.7474290534165152,1245.022182005754,5.59471365638766,4.84917907598319
20,2023-02-17_Z_stack13_IMR90,Confined,3,0.0028166668075,10.8,14.824562174607692,10.906265468558905,219185.0,3.027061295676591,0.1874478662153839,617.3711142018875,0.7489531533151376,1093.6037880842,0.0,0.0
