Condensate ID,x_corr,y_corr,frame,area_cond,track_id,Nucleus ID,Condition,Video
12,2.622081232274558,5.128889466537222,10,131,7,3,Confined,3626
13,0.10461391724226282,0.8763778179758616,10,312,17,3,Confined,3626
10,-0.7349210983941589,5.9753494826827795,11,501,22,3,Confined,3626
11,-0.3746890554304763,-6.306869993247867,11,383,5,3,Confined,3626
12,2.6824584878878226,4.922302305379632,11,187,7,3,Confined,3626
13,0.38174369695792953,0.6401800339372491,11,437,17,3,Confined,3626
10,-0.6934022324344551,6.032842678143021,12,498,22,3,Confined,3626
11,-0.5492238022086973,-6.0297288799339475,12,309,5,3,Confined,3626
12,2.839965572117085,5.023981098491079,12,162,7,3,Confined,3626
13,-0.010949420667909169,0.7582539267739088,12,385,17,3,Confined,3626
10,-0.9881284353203273,5.907654872776898,13,462,22,3,Confined,3626
11,-0.301249863891756,-6.211191555794529,13,352,5,3,Confined,3626
12,2.2839859819080144,5.031915089775089,13,158,7,3,Confined,3626
13,0.38657771186582107,0.4388584442054696,13,180,19,3,Confined,3626
10,-1.034375326572175,5.987216225004452,14,436,22,3,Confined,3626
11,-0.3272667802107244,-5.996925702937118,14,309,5,3,Confined,3626
12,2.5222058344528167,5.357584407541625,14,87,7,3,Confined,3626
10,-1.0096583696188888,5.934068477665267,15,490,22,3,Confined,3626
11,-0.3632463477869012,-6.2787242845559,15,301,5,3,Confined,3626
12,2.4968031996984936,5.100138815455555,15,87,7,3,Confined,3626
10,-0.9789737791319849,5.8627322709979275,16,474,22,3,Confined,3626
11,-0.37137564374694965,-6.330624894036702,16,371,5,3,Confined,3626
12,2.580778726680467,4.931959357022211,16,147,7,3,Confined,3626
10,-0.9706665513138323,5.779155672765824,17,421,22,3,Confined,3626
11,-0.5267044792691126,-6.323214961063403,17,399,5,3,Confined,3626
12,2.7751146712562074,5.26293617173548,17,151,7,3,Confined,3626
10,-0.9465374524447202,5.696476051897977,18,454,22,3,Confined,3626
11,-0.5863625912798778,-6.292659731381902,18,353,5,3,Confined,3626
10,-0.8336670621988063,5.6698475145137675,19,473,22,3,Confined,3626
11,-0.6319439665886531,-6.346455824816266,19,322,5,3,Confined,3626
10,-0.7787818024839793,5.564383727209008,20,597,22,3,Confined,3626
11,-0.8683938988146894,-6.189867273075434,20,265,5,3,Confined,3626
10,-0.7554210737481196,5.582403381742417,21,402,22,3,Confined,3626
11,-0.9562886149082973,-5.927376884452383,21,291,5,3,Confined,3626
10,-0.8313076025210073,5.614830447418091,22,509,22,3,Confined,3626
11,-1.1196244765051702,-5.599403127071187,22,359,5,3,Confined,3626
10,3.6602779899312377,1.3302367908889996,22,509,22,3,Confined,3626
11,3.371961115947075,-9.883996783600278,22,359,5,3,Confined,3626
10,-0.7798296682305343,5.565671451981662,23,561,22,3,Confined,3626
11,-1.222756942568529,-5.495841105198931,23,332,5,3,Confined,3626
10,-0.7248228752761728,5.563699749283662,24,777,43,3,Confined,3626
11,-1.4534123146946456,-5.499097489136156,24,341,5,3,Confined,3626
10,-0.5546977383183785,5.443862156802857,25,592,43,3,Confined,3626
11,-1.33069684949774,-5.487754233860531,25,275,5,3,Confined,3626
10,-1.0103588478496732,5.189859442442532,26,594,72,3,Confined,3626
11,-1.4511699986590785,-5.52572156412974,26,229,5,3,Confined,3626
11,-1.587900784928919,-5.460690579089206,27,307,5,3,Confined,3626
