Condensate ID,x_corr,y_corr,frame,area_cond,track_id,Nucleus ID,Condition,Video
10,-0.5749694105876447,6.495878369254395,0,734,4,3,Confined,3626
10,-1.1653817375532125,6.374272231765862,1,828,4,3,Confined,3626
11,-0.2298112422890347,-6.908069243756218,1,381,5,3,Confined,3626
12,2.7485915736725306,5.129694228818183,1,59,7,3,Confined,3626
13,-0.6920957817216049,1.563244592014309,1,378,2,3,Confined,3626
10,-1.7225018635417495,6.240359705042796,2,719,4,3,Confined,3626
11,0.704256933997936,-6.846125530677313,2,232,5,3,Confined,3626
12,2.16164033917035,5.159320805529581,2,96,7,3,Confined,3626
13,-0.4792540765101227,1.3148343040502934,2,338,2,3,Confined,3626
10,-1.4079745053820214,6.167210354014116,3,752,4,3,Confined,3626
11,0.32332862645333255,-6.232727326190696,3,321,5,3,Confined,3626
12,2.340200896797533,5.146059715067566,3,82,7,3,Confined,3626
13,0.14858823991853629,1.1857201105210362,3,309,10,3,Confined,3626
10,-0.9541312636065906,6.01001901258969,4,588,4,3,Confined,3626
11,-0.08171282691152446,-6.118334013960735,4,412,5,3,Confined,3626
12,2.5810713230094517,4.834745270302077,4,86,7,3,Confined,3626
13,0.27554745123069535,0.8312255845698328,4,185,3,3,Confined,3626
10,-0.8104545612024855,5.906765787746467,5,581,4,3,Confined,3626
11,0.003396542190678366,-6.311650256020437,5,392,5,3,Confined,3626
12,2.637773838109046,4.7051181113265,5,113,7,3,Confined,3626
13,0.328830131815339,0.5791016777600683,5,286,10,3,Confined,3626
10,-0.8838242010093379,5.693403468991474,6,502,4,3,Confined,3626
11,-0.009941928163675869,-6.6530322554232155,6,413,5,3,Confined,3626
12,2.652432826519643,4.665208741135977,6,133,7,3,Confined,3626
10,-0.593901420876818,5.760398304126723,7,533,4,3,Confined,3626
11,-0.14709873272131002,-6.634248327330586,7,427,5,3,Confined,3626
12,3.096132483125683,4.740937250343109,7,72,7,3,Confined,3626
10,-0.7570108569097395,5.985541375109567,8,539,4,3,Confined,3626
11,-0.4024097511092018,-6.4257949995848,8,453,5,3,Confined,3626
12,2.415558484463173,4.792426996630906,8,84,7,3,Confined,3626
10,-0.8839417327338263,6.013271775757933,9,543,4,3,Confined,3626
11,-0.32580643471002674,-6.426078758134971,9,416,5,3,Confined,3626
12,2.678595407597666,4.9262737072496465,9,125,7,3,Confined,3626
10,-1.089451880884482,5.941958054125722,10,579,4,3,Confined,3626
11,-0.2759124081215633,-6.284518517782975,10,444,5,3,Confined,3626
