,Condensate ID,x_corr,y_corr,frame,area_cond,Frames visible,t,Condition,Video
49,23,-5.948356252906117,0.47266159460767665,22,615,28,22,Non-Confined,8105
50,23,-6.321322541463617,0.4552842632330155,23,637,28,23,Non-Confined,8105
51,23,-6.39838675405782,-0.2441250697317279,24,631,28,24,Non-Confined,8105
52,23,-6.092261810036273,-2.252257268629731,25,719,28,25,Non-Confined,8105
53,23,-5.51902424121425,-3.060959764412509,26,776,28,26,Non-Confined,8105
54,23,-5.313215648773031,-3.424579585998168,27,760,28,27,Non-Confined,8105
55,24,2.398148097879906,1.9005939778102292,0,137,28,0,Non-Confined,8105
56,24,2.1171253050202035,2.2422354423861224,1,255,28,1,Non-Confined,8105
57,24,1.7461615853589156,2.300084984506138,2,271,28,2,Non-Confined,8105
58,24,2.4493141437052164,2.1976333619168824,3,228,28,3,Non-Confined,8105
59,24,2.168927245098884,2.4722801764930344,4,385,28,4,Non-Confined,8105
60,24,2.1843118400913175,2.861187323398982,5,363,28,5,Non-Confined,8105
61,24,2.6435039408667977,2.0961992563956664,6,463,28,6,Non-Confined,8105
62,24,2.732339220155074,2.4124579235242924,7,492,28,7,Non-Confined,8105
63,24,2.873613506978052,2.6568352606973114,8,495,28,8,Non-Confined,8105
64,24,1.2271790674119385,2.8766567016716897,9,552,28,9,Non-Confined,8105
65,24,2.131700729489821,2.910066883123612,10,498,28,10,Non-Confined,8105
66,24,1.992168061457897,2.4723540464270517,11,538,28,11,Non-Confined,8105
67,24,2.9293636043451206,2.4650514912706645,12,531,28,12,Non-Confined,8105
68,24,3.5657049708396107,-1.4688256033016083,13,154,28,13,Non-Confined,8105
69,24,3.3366710029697164,2.0824436246072064,14,588,28,14,Non-Confined,8105
70,24,3.0698519027608295,2.495158514361366,15,685,28,15,Non-Confined,8105
71,24,1.9381126401383877,3.08501667207127,16,574,28,16,Non-Confined,8105
72,24,3.9829878861073227,4.284013884870835,17,34,28,17,Non-Confined,8105
73,24,4.945975183596826,3.7333806216877075,18,42,28,18,Non-Confined,8105
74,24,4.976643151994665,1.8975416726485363,19,59,28,19,Non-Confined,8105
75,24,2.1961480600634307,2.7612379067167745,20,212,28,20,Non-Confined,8105
76,24,2.241156579980853,2.755774555236672,21,405,28,21,Non-Confined,8105
77,24,2.86133415423064,2.771957647563928,22,514,28,22,Non-Confined,8105
78,24,2.8534317195596874,2.156668691758722,23,515,28,23,Non-Confined,8105
79,24,3.00204180270912,1.6868573991542921,24,647,28,24,Non-Confined,8105
80,24,2.4182172738494963,2.198941249181909,25,822,28,25,Non-Confined,8105
81,24,1.8845018401198357,2.6200434434352617,26,859,28,26,Non-Confined,8105
82,24,0.969362094988765,2.448490861160566,27,753,28,27,Non-Confined,8105
83,25,4.009057309822124,-0.491946742487829,1,147,12,0,Non-Confined,8105
84,25,4.107372611922598,-0.007289755930710952,2,322,12,1,Non-Confined,8105
85,25,4.2171243510417415,-0.8231071484499419,3,198,12,2,Non-Confined,8105
86,25,4.363232749751712,-0.42911471050972644,4,254,12,3,Non-Confined,8105
87,25,4.1639750105496445,-0.753561321073924,6,171,12,4,Non-Confined,8105
88,25,4.103098728329825,-0.7418404616271415,7,182,12,5,Non-Confined,8105
89,25,4.295804113038657,-0.40762201202996085,8,330,12,6,Non-Confined,8105
90,25,4.388163737619899,0.049690323225482606,10,369,12,7,Non-Confined,8105
91,25,4.377307122314841,-0.025882250763367892,11,251,12,8,Non-Confined,8105
92,25,4.353340074536537,-0.5728222518780002,12,335,12,9,Non-Confined,8105
93,25,4.408783112073378,-0.5138458183990112,13,320,12,10,Non-Confined,8105
94,25,4.408783112073378,-0.5138458183990112,13,320,12,11,Non-Confined,8105
95,26,7.577551187373144,2.028665442386124,1,34,17,0,Non-Confined,8105
96,26,7.455857394531296,2.86538431239227,2,84,17,1,Non-Confined,8105
97,26,8.05324024467192,1.4810725670726297,3,49,17,2,Non-Confined,8105
98,26,8.1142171158128,1.3458597315576548,6,65,17,3,Non-Confined,8105
99,26,8.206968926441572,1.2221663484641747,7,71,17,4,Non-Confined,8105
100,26,8.507676679883577,1.3238099131037266,8,85,17,5,Non-Confined,8105
101,26,7.936554612984967,2.538040587650459,10,103,17,6,Non-Confined,8105
102,26,7.957288935063844,2.675877968360138,11,120,17,7,Non-Confined,8105
103,26,8.387387221603749,1.6537615887912662,12,157,17,8,Non-Confined,8105
104,26,8.336867873764028,1.746199655971495,13,139,17,9,Non-Confined,8105
105,26,8.033683000763357,1.789169916775122,17,59,17,10,Non-Confined,8105
106,26,8.173837901366865,1.419262677436836,18,123,17,11,Non-Confined,8105
107,26,7.908153386675238,2.3626643211864407,19,182,17,12,Non-Confined,8105
108,26,7.852209045664225,2.9757850144625535,20,152,17,13,Non-Confined,8105
109,26,8.196243079383482,2.8204518670646266,21,186,17,14,Non-Confined,8105
110,26,8.52805640535642,1.8426229319603775,22,178,17,15,Non-Confined,8105
111,26,8.523617650332168,1.40991136377223,23,138,17,16,Non-Confined,8105
0,27,-3.399278081925887,0.2387081544022848,0,102,11,0,Non-Confined,8105
1,27,-3.4995647869136155,0.1237726213323148,1,153,11,1,Non-Confined,8105
2,27,-3.208581685258352,-0.5810557499495816,2,348,11,2,Non-Confined,8105
3,27,-3.336988437842012,-1.226014429524267,3,316,11,3,Non-Confined,8105
4,27,-3.3642109936608797,-1.565596100454268,4,402,11,4,Non-Confined,8105
5,27,-3.288848491952669,-0.8828888825410676,5,490,11,5,Non-Confined,8105
6,27,-3.10132003054327,-1.322617944256589,6,504,11,6,Non-Confined,8105
7,27,-3.123384701499488,-1.5524829231921773,7,598,11,7,Non-Confined,8105
8,27,-3.3302169197390277,-1.5094092165855255,8,521,11,8,Non-Confined,8105
9,27,-2.8623648220249436,-2.6132374749846083,9,593,11,9,Non-Confined,8105
10,27,-2.794305327617367,-3.2651546345465614,10,698,11,10,Non-Confined,8105
11,28,-1.4914657175626664,1.736015590153288,0,515,10,0,Non-Confined,8105
12,28,-1.5948029049359451,1.5929894193433871,1,418,10,1,Non-Confined,8105
13,28,-1.9484186910065673,0.6644898742732012,3,120,10,2,Non-Confined,8105
14,28,-2.190092631214435,0.7684386116319871,4,317,10,3,Non-Confined,8105
15,28,-2.0588219270671746,0.9289862833726257,5,393,10,4,Non-Confined,8105
16,28,-2.0267375342635074,0.8923218343892444,6,512,10,5,Non-Confined,8105
17,28,-2.1392104513269015,0.6372448396914497,7,499,10,6,Non-Confined,8105
18,28,-2.163115820506213,0.8317082521034264,8,674,10,7,Non-Confined,8105
19,28,-2.366980995814001,-0.2616621442287719,9,738,10,8,Non-Confined,8105
20,28,-2.718386077184661,-1.0824356604654302,10,788,10,9,Non-Confined,8105
21,29,-3.24116587326884,5.448918989585413,0,424,8,0,Non-Confined,8105
22,29,-4.836097239393664,3.759942616208687,3,155,8,1,Non-Confined,8105
23,29,-4.40183771007879,3.6552352001853907,4,140,8,2,Non-Confined,8105
24,29,-4.296369984489982,4.109353709600265,5,201,8,3,Non-Confined,8105
25,29,-4.685824242997481,3.5739400685639238,6,234,8,4,Non-Confined,8105
26,29,-4.373598958267791,3.787621135348458,7,137,8,5,Non-Confined,8105
27,29,-6.389395829951647,2.5085914903958098,9,187,8,6,Non-Confined,8105
28,29,-6.229230112717654,1.0919837763571798,10,148,8,7,Non-Confined,8105
0,30,-5.6408606720387615,-0.821115087605684,0,212,17,0,Non-Confined,8105
1,30,-5.365487111440151,-2.4566959020106225,1,196,17,1,Non-Confined,8105
2,30,-5.313069593109074,-2.6990955327193444,2,245,17,2,Non-Confined,8105
3,30,-5.041983699921623,-3.26777922928192,3,282,17,3,Non-Confined,8105
4,30,-4.728813276531793,-3.396059506241786,4,266,17,4,Non-Confined,8105
5,30,-4.629177016793217,-4.024217329682651,5,276,17,5,Non-Confined,8105
6,30,-4.79023801135831,-4.083571356493659,6,328,17,6,Non-Confined,8105
7,30,-4.7380406910526505,-4.005740683366522,7,261,17,7,Non-Confined,8105
8,30,-4.547547301358335,-4.047456843771285,8,354,17,8,Non-Confined,8105
9,30,-4.661916954299497,-4.326750033403138,9,462,17,9,Non-Confined,8105
10,30,-4.78605077353359,-4.364933753553512,10,545,17,10,Non-Confined,8105
11,30,-4.276743338862141,-4.463276221503378,11,562,17,11,Non-Confined,8105
12,30,-4.5331109551021775,-4.1690793624372375,12,443,17,12,Non-Confined,8105
13,30,-4.7487580564892635,-4.078981878138653,13,521,17,13,Non-Confined,8105
14,30,-4.603058957272856,-3.6984598120235153,14,513,17,14,Non-Confined,8105
15,30,-4.88009587680253,-3.938562767324062,15,580,17,15,Non-Confined,8105
16,30,-4.838316397783778,-4.0394758025992115,16,667,17,16,Non-Confined,8105
17,31,-2.477960716860755,0.2778499491056622,0,221,17,0,Non-Confined,8105
18,31,-2.2481745604197445,-0.18661584078613266,1,150,17,1,Non-Confined,8105
19,31,-2.167210362551988,-0.46826891661344217,2,296,17,2,Non-Confined,8105
20,31,-2.088240588482818,-1.0579091429115817,3,202,17,3,Non-Confined,8105
21,31,-1.8146513001622977,-1.097532089485609,4,196,17,4,Non-Confined,8105
22,31,-1.9334095392984845,-1.2074618278630769,5,227,17,5,Non-Confined,8105
23,31,-1.7902663161432661,-1.383711861055194,6,262,17,6,Non-Confined,8105
24,31,-1.7394960923774103,-1.5489169399416238,7,236,17,7,Non-Confined,8105
25,31,-1.6372430210648872,-1.3605212328428762,8,335,17,8,Non-Confined,8105
26,31,-1.626390948780767,-1.5438977014394888,9,433,17,9,Non-Confined,8105
27,31,-1.7323323632134904,-1.2473045876547095,10,458,17,10,Non-Confined,8105
28,31,-1.683364543993725,-1.4408442062140656,11,486,17,11,Non-Confined,8105
29,31,-1.578562460609832,-1.0086317906157034,12,549,17,12,Non-Confined,8105
30,31,-1.7743794451093677,-0.8579936054272427,13,605,17,13,Non-Confined,8105
31,31,-1.532621104584742,-0.8559455207565767,14,662,17,14,Non-Confined,8105
32,31,-1.6922127491558283,-1.1137333269126894,15,684,17,15,Non-Confined,8105
33,31,-1.6699329080853293,-1.1925644670298807,16,582,17,16,Non-Confined,8105
34,32,1.6188341237907833,-5.746727314470344,1,380,16,0,Non-Confined,8105
35,32,2.046888305040839,-5.344229620073912,2,321,16,1,Non-Confined,8105
36,32,2.692105980020185,-4.930486175999506,3,351,16,2,Non-Confined,8105
37,32,2.868018239138573,-5.548424335393874,4,202,16,3,Non-Confined,8105
38,32,3.430816665272003,-5.206088321530477,5,192,16,4,Non-Confined,8105
39,32,3.2039739632135618,-5.657440868688781,6,282,16,5,Non-Confined,8105
40,32,3.717095412207196,-5.719405804904115,7,183,16,6,Non-Confined,8105
41,32,3.0602544894955175,-5.0590128239439744,8,159,16,7,Non-Confined,8105
42,32,3.1680973986969034,-5.1012942205413,9,415,16,8,Non-Confined,8105
43,32,3.1329008659144777,-5.194637938394544,10,623,16,9,Non-Confined,8105
44,32,3.7312585960747877,-3.921411682459946,11,764,16,10,Non-Confined,8105
45,32,3.934283152877091,-3.7710123989992037,12,787,16,11,Non-Confined,8105
46,32,2.9262952880044084,-3.729753121987237,13,133,16,12,Non-Confined,8105
47,32,2.8288051025943277,-4.465810342304018,14,59,16,13,Non-Confined,8105
48,32,3.1706141309174893,-4.142933706593233,15,335,16,14,Non-Confined,8105
49,32,3.4806603467011215,-3.6270346363965973,16,420,16,15,Non-Confined,8105
50,33,-3.4804145966259217,-2.879216327684707,4,131,11,0,Non-Confined,8105
51,33,-2.873074751879161,-4.032474099146756,5,215,11,1,Non-Confined,8105
52,33,-2.7291836713296154,-4.060401898100546,6,136,11,2,Non-Confined,8105
53,33,-2.157375246007788,-2.9065398435929475,9,143,11,3,Non-Confined,8105
54,33,-3.556455599104793,-3.9520023166342115,10,157,11,4,Non-Confined,8105
55,33,-3.176131104232124,-3.141465342867962,11,58,11,5,Non-Confined,8105
56,33,-3.6512458185333285,-2.7464862687577796,12,600,11,6,Non-Confined,8105
57,33,-3.973980535814398,-2.8157044818684214,13,486,11,7,Non-Confined,8105
58,33,-2.5363731538949477,-3.619547891195805,14,286,11,8,Non-Confined,8105
59,33,-3.8446961949181198,-3.4985814341526185,15,710,11,9,Non-Confined,8105
60,33,-4.056995558731473,-3.7786876846863358,16,284,11,10,Non-Confined,8105
0,34,-6.442816075543374,4.799795431988534,2,84,11,0,Confined,3627
1,34,-6.391212889525819,4.765196909659553,3,159,11,1,Confined,3627
2,34,-6.243736386706423,4.771412518771628,4,55,11,2,Confined,3627
3,34,-6.056648875329726,4.954336293872761,5,188,11,3,Confined,3627
4,34,-5.9316767590455965,4.9201011695519075,6,193,11,4,Confined,3627
5,34,-6.273068334355245,4.844547027870095,7,101,11,5,Confined,3627
6,34,-6.021565411282036,5.253412235995459,9,128,11,6,Confined,3627
7,34,-6.2953909532787025,5.030979820970078,10,53,11,7,Confined,3627
8,34,-6.603466396384101,4.578611376912471,11,78,11,8,Confined,3627
9,34,-6.242127840416307,5.205568765983942,12,39,11,9,Confined,3627
10,34,-5.987351897677306,5.172534244302943,13,38,11,10,Confined,3627
11,35,-0.7900738116572646,4.87985045662755,15,92,14,0,Confined,3627
12,35,-1.0154863325110577,4.700215129626481,16,108,14,1,Confined,3627
13,35,-1.3104648234098517,5.022774018173124,17,85,14,2,Confined,3627
14,35,-1.079620243749279,4.855188580405928,18,104,14,3,Confined,3627
15,35,-1.216689797172279,4.859985545520287,19,105,14,4,Confined,3627
16,35,-1.108122367141768,4.828988515668789,20,101,14,5,Confined,3627
17,35,-0.764740547874565,4.7715511925811755,21,74,14,6,Confined,3627
18,35,-0.7933978144298769,3.7625658443692602,22,314,14,7,Confined,3627
19,35,-0.8258865269657479,4.67238288566029,23,67,14,8,Confined,3627
20,35,-0.7598646972811757,4.738302489566192,24,138,14,9,Confined,3627
21,35,-0.7324338660783843,4.7568173059002135,25,160,14,10,Confined,3627
22,35,-1.318423184268841,4.835457910796016,26,52,14,11,Confined,3627
23,35,-1.5800453811310848,3.9758815822827045,27,52,14,12,Confined,3627
24,35,-0.6898631322897527,4.272326956961217,28,101,14,13,Confined,3627
25,36,-2.6791171911681784,1.644736749056522,14,150,18,0,Confined,3627
26,36,-2.71197267529363,1.7222709111730057,15,264,18,1,Confined,3627
27,36,-2.8315846658443897,1.4581823518487027,16,90,18,2,Confined,3627
28,36,-3.1659414410569107,1.3278069593495947,17,120,18,3,Confined,3627
29,36,-3.077324258420176,1.595475743371829,18,97,18,4,Confined,3627
30,36,-3.1788913356338178,2.0208295015642412,19,65,18,5,Confined,3627
31,36,-3.226482326172155,1.8963526399432857,20,145,18,6,Confined,3627
32,36,-3.142227658061675,1.691753029033013,21,117,18,7,Confined,3627
33,36,-3.1240212173620763,1.9099486676459332,22,338,18,8,Confined,3627
34,36,-3.0483450751339976,1.6282732791473977,23,330,18,9,Confined,3627
35,36,-3.1512886103246562,1.6426042194704704,24,377,18,10,Confined,3627
36,36,-2.5242021373549797,0.9462273989853184,25,376,18,11,Confined,3627
37,36,-2.4553770304226874,1.3257938082319132,26,234,18,12,Confined,3627
38,36,-2.961079227284933,0.8431304284365495,27,260,18,13,Confined,3627
39,36,-2.627125590724276,1.122375434450474,28,265,18,14,Confined,3627
40,36,-2.768379643397233,1.66478845398997,29,301,18,15,Confined,3627
41,36,-2.8096190570874175,0.8916296807935128,30,195,18,16,Confined,3627
42,36,-2.9517703614420916,0.9581279754272704,31,284,18,17,Confined,3627
43,37,-2.069414917053665,4.291020636832361,0,631,30,0,Confined,3627
44,37,-2.2685882592516116,3.9708825310191296,1,1027,30,1,Confined,3627
45,37,-2.0575943565587935,4.1136183773235,2,1005,30,2,Confined,3627
46,37,-1.7140085298156005,4.320673830583578,3,961,30,3,Confined,3627
47,37,-1.6443149152668073,4.3278126291605865,4,1072,30,4,Confined,3627
48,37,-0.7624653602834608,4.3839618961893985,5,1110,30,5,Confined,3627
49,37,-0.7806076446763118,4.259107103357545,6,1106,30,6,Confined,3627
50,37,-0.7587062457350533,4.398162948021302,7,1191,30,7,Confined,3627
51,37,-0.7883434360676252,4.2716221852712115,8,1048,30,8,Confined,3627
52,37,-0.948648432647677,4.012761398648383,9,1238,30,9,Confined,3627
53,37,-1.1275578565244113,3.9143674324984885,10,1085,30,10,Confined,3627
54,37,-1.0317829435981951,3.860347742559475,11,1284,30,11,Confined,3627
55,37,-0.8421298020145497,4.030199767889751,12,1214,30,12,Confined,3627
56,37,-0.8259501056139182,3.9411201956960715,13,1097,30,13,Confined,3627
57,37,-0.937621723069482,3.9168288192469944,14,1317,30,14,Confined,3627
58,37,-1.0089453105038049,3.8269891067264803,15,1126,30,15,Confined,3627
59,37,-1.0444237569580594,3.8667595678770574,16,1141,30,16,Confined,3627
60,37,-1.0009478890335748,3.775280253228851,17,1195,30,17,Confined,3627
61,37,-1.1189653752879616,3.8268755615019856,18,1186,30,18,Confined,3627
62,37,-1.2178106173726613,3.962510735576287,19,1148,30,19,Confined,3627
63,37,-1.1322530680051042,3.9890108244793407,20,1039,30,20,Confined,3627
64,37,-1.2158957564342516,3.932147497151987,21,1169,30,21,Confined,3627
65,37,-1.0429999963731555,3.9771261612211406,22,1200,30,22,Confined,3627
66,37,-1.115297840446441,3.8311667412704415,23,1373,30,23,Confined,3627
67,37,-1.086196928424493,3.8529678850557647,24,1421,30,24,Confined,3627
68,37,-1.1255000388387957,3.923041483298875,25,1383,30,25,Confined,3627
69,37,-0.9887773303937888,4.008500347359017,26,1691,30,26,Confined,3627
70,37,-0.7169758759009582,4.07990839032801,27,1745,30,27,Confined,3627
71,37,-0.7385865213270686,4.166096583159354,28,1685,30,28,Confined,3627
72,37,-0.9194857242513217,4.062809371901359,29,1689,30,29,Confined,3627
73,38,-6.046172135144607,2.0372897054657853,0,390,13,0,Confined,3627
74,38,-5.865598880614352,1.7414941609074892,1,344,13,1,Confined,3627
75,38,-5.477580773524599,1.7860437155060065,2,316,13,2,Confined,3627
76,38,-5.280180428364501,1.7439651354285748,3,273,13,3,Confined,3627
77,38,-5.3551634512856925,2.0471351866537333,4,147,13,4,Confined,3627
78,38,-5.317441914337512,2.4576554772704813,5,48,13,5,Confined,3627
79,38,-4.8901957369189315,2.438719038701401,7,75,13,6,Confined,3627
80,38,-5.252424874206762,2.3618646110957826,8,212,13,7,Confined,3627
81,38,-5.302141070810124,2.1286875361851245,10,120,13,8,Confined,3627
82,38,-5.449080066627909,1.837817581449136,11,67,13,9,Confined,3627
83,38,-5.478525739055379,1.8586126201984008,12,74,13,10,Confined,3627
84,38,-5.431887521491216,1.8176868605131637,13,115,13,11,Confined,3627
85,38,-5.12730070253628,1.6125406367949897,15,35,13,12,Confined,3627
86,39,2.677398136516823,-3.081801266796152,0,269,8,0,Confined,3627
87,39,2.7118208679968903,-3.3323636996988544,1,247,8,1,Confined,3627
88,39,2.924830315082996,-2.9620975629750044,2,100,8,2,Confined,3627
89,39,3.0707679232838516,-3.3611099561465174,3,63,8,3,Confined,3627
90,39,2.826751446673497,-3.153995374570756,4,120,8,4,Confined,3627
91,39,2.7935431663076526,-3.27048766789081,5,62,8,5,Confined,3627
92,39,2.7185001434216636,-3.150102086187087,6,44,8,6,Confined,3627
93,39,2.629390949648237,-3.1355473493583013,7,67,8,7,Confined,3627
94,40,-3.4893886849170057,2.0370410762002504,2,97,28,0,Confined,3627
95,40,-3.1786137587438015,2.0391791375554784,3,124,28,1,Confined,3627
96,40,-3.3076418866598427,2.2998554587625786,4,90,28,2,Confined,3627
97,40,-2.948472707020439,2.6791423675143826,5,164,28,3,Confined,3627
98,40,-2.822778544399948,2.5152100922005647,6,159,28,4,Confined,3627
99,40,-2.8215655830727764,2.5989704233167847,7,130,28,5,Confined,3627
100,40,-2.7512440085867147,2.632938883744496,8,131,28,6,Confined,3627
101,40,-3.0302982686240734,2.431529423111804,9,196,28,7,Confined,3627
102,40,-3.0545683280916767,2.5052435798744455,10,206,28,8,Confined,3627
103,40,-3.0656799119136706,2.453580167907093,11,164,28,9,Confined,3627
104,40,-2.9670022399837936,2.478156626800424,12,262,28,10,Confined,3627
105,40,-2.9209167166808556,2.410247989097804,13,141,28,11,Confined,3627
106,40,-2.8557299591173155,2.2712816025613476,14,96,28,12,Confined,3627
107,40,-2.695231985122308,2.298501304156828,15,274,28,13,Confined,3627
108,40,-2.8390610365373785,2.134128290050592,16,150,28,14,Confined,3627
109,40,-2.928909157028757,2.0403128239685153,17,177,28,15,Confined,3627
110,40,-2.772512767274941,2.3433301873088124,18,435,28,16,Confined,3627
111,40,-3.0378001843017954,2.0220249863101873,19,127,28,17,Confined,3627
112,40,-2.9816046431419263,2.1206342360547636,20,134,28,18,Confined,3627
113,40,-2.9213041506214825,2.252603687558633,21,164,28,19,Confined,3627
114,40,-2.8966469021108603,2.246040259581797,22,122,28,20,Confined,3627
115,40,-3.0185624070888304,2.108585750738761,23,226,28,21,Confined,3627
116,40,-2.9480426689153907,2.228247900296763,24,181,28,22,Confined,3627
117,40,-2.9098723026131976,2.1083960047739283,25,125,28,23,Confined,3627
118,40,-2.853154182636758,2.291734604894847,26,217,28,24,Confined,3627
119,40,-2.8122339242483476,2.445510300816733,27,355,28,25,Confined,3627
120,40,-2.7833063192799252,2.3531726269028934,28,267,28,26,Confined,3627
121,40,-2.6700162420356954,2.381623059827684,29,238,28,27,Confined,3627
122,41,0.054584121931870344,4.634741080753849,3,324,27,0,Confined,3627
123,41,0.026333949890467785,4.587649507130577,4,400,27,1,Confined,3627
124,41,0.2351622613857579,4.628324348474302,5,349,27,2,Confined,3627
125,41,0.23652033046693197,4.658614828744734,6,363,27,3,Confined,3627
126,41,0.27681322186976065,4.797914654588515,7,218,27,4,Confined,3627
127,41,0.20674137338439072,4.907936900691552,8,222,27,5,Confined,3627
128,41,0.41172643537074827,5.089284870269202,9,218,27,6,Confined,3627
129,41,0.4361937702397732,5.137087608540901,10,241,27,7,Confined,3627
130,41,0.4311871651981025,5.080449154803887,11,246,27,8,Confined,3627
131,41,0.4387346951976993,4.973230204118142,12,217,27,9,Confined,3627
132,41,0.48846030737728674,5.03560234787902,13,262,27,10,Confined,3627
133,41,0.6539137625506599,5.081430903188907,14,294,27,11,Confined,3627
134,41,0.7155675193498313,5.041406939539273,15,206,27,12,Confined,3627
135,41,0.8592427742473198,4.940389075140566,16,246,27,13,Confined,3627
136,41,0.8798439765701435,4.947094908691154,17,161,27,14,Confined,3627
137,41,0.9077311014706787,4.9364251513602335,18,159,27,15,Confined,3627
138,41,0.9478611846301145,5.044912958272538,19,176,27,16,Confined,3627
139,41,1.0466444733939233,5.147994206840617,20,171,27,17,Confined,3627
140,41,1.1488062482961965,4.983246431787197,21,200,27,18,Confined,3627
141,41,1.123433818839305,4.9778440815309475,22,104,27,19,Confined,3627
142,41,1.389981521854874,4.965299089101914,24,173,27,20,Confined,3627
143,41,1.4153715869211807,4.986744234815566,25,121,27,21,Confined,3627
144,41,1.336134868136159,4.970940382427865,26,187,27,22,Confined,3627
145,41,1.3881261997310115,4.996531604854674,27,191,27,23,Confined,3627
146,41,1.3938586533639825,4.990193629430269,29,100,27,24,Confined,3627
147,41,1.3566322439150889,5.059144633971656,30,179,27,25,Confined,3627
148,41,1.2872387449451654,5.10884213798434,31,91,27,26,Confined,3627
149,42,4.643335078813817,-3.5521642287255006,2,164,13,0,Confined,3627
150,42,4.8145225446202895,-3.204246131108365,3,143,13,1,Confined,3627
151,42,4.718962105804442,-2.9572468853425375,4,279,13,2,Confined,3627
152,42,4.584328112535566,-2.837701299898338,5,234,13,3,Confined,3627
153,42,4.528556413192985,-2.670817826061271,6,203,13,4,Confined,3627
154,42,4.482311012545666,-2.4545098679728046,7,196,13,5,Confined,3627
155,42,4.452780426531497,-2.5539626549043124,8,149,13,6,Confined,3627
156,42,4.532046013072266,-2.554449333806716,9,131,13,7,Confined,3627
157,42,4.409285653914123,-2.5240286384186073,10,116,13,8,Confined,3627
158,42,4.390850366630815,-2.6548422062740547,11,143,13,9,Confined,3627
159,42,4.447950336740907,-2.8170651952039454,12,121,13,10,Confined,3627
160,42,4.6477284842969135,-2.8304885007963274,13,85,13,11,Confined,3627
161,42,4.723873966632296,-2.745318076402931,14,41,13,12,Confined,3627
162,43,-4.00144801479722,-0.935588811487478,1,177,14,0,Confined,3627
163,43,-4.1431668564990165,-0.6201677281952723,2,138,14,1,Confined,3627
164,43,-4.150682736305677,-1.0727907838693993,3,116,14,2,Confined,3627
165,43,-3.4590338044447955,-1.33992323564399,4,173,14,3,Confined,3627
166,43,-3.3789291176373633,-1.248867057203049,5,172,14,4,Confined,3627
167,43,-3.1980100744917452,-1.2748358654701368,6,100,14,5,Confined,3627
168,43,-3.4421812295566556,-1.3337888517580967,7,146,14,6,Confined,3627
169,43,-3.2738855792563224,-1.2975941307986576,8,109,14,7,Confined,3627
170,43,-3.138394756121105,-1.2908563790734031,9,157,14,8,Confined,3627
171,43,-3.063305540667162,-1.2034733428521058,10,56,14,9,Confined,3627
172,43,-2.9406442296819666,-1.228671576903427,11,121,14,10,Confined,3627
173,43,-2.7476871578219524,-1.1044541034249076,12,57,14,11,Confined,3627
174,43,-2.5279804232661105,-1.1146167360904486,13,84,14,12,Confined,3627
175,43,-2.4091282072807436,-0.9832550329246691,14,46,14,13,Confined,3627
176,44,-3.9115926670264036,-5.425754541158909,0,606,32,0,Confined,3627
177,44,-3.9508173181046926,-5.2765113380283575,1,610,32,1,Confined,3627
178,44,-4.264466604760788,-5.025404420092857,2,503,32,2,Confined,3627
179,44,-4.370185513103658,-4.396243851574699,3,593,32,3,Confined,3627
180,44,-4.58710929470508,-4.266505324688229,4,602,32,4,Confined,3627
181,44,-4.63250842721864,-4.094360930322785,5,546,32,5,Confined,3627
182,44,-4.5621913858596175,-4.068114489088455,6,494,32,6,Confined,3627
183,44,-4.124310282929132,-4.2858610606410945,7,508,32,7,Confined,3627
184,44,-3.9734565696501596,-4.229098596847897,8,544,32,8,Confined,3627
185,44,-4.129477223942692,-4.183384956858104,9,585,32,9,Confined,3627
186,44,-4.111087867091704,-4.323655572009254,10,501,32,10,Confined,3627
187,44,-4.083353285626888,-4.055721863040125,11,543,32,11,Confined,3627
188,44,-4.161160709160941,-3.8969341904470816,12,518,32,12,Confined,3627
189,44,-4.292206295110611,-3.7302459016786065,13,475,32,13,Confined,3627
190,44,-4.239913358820559,-3.474007868129579,14,420,32,14,Confined,3627
191,44,-4.081833257057093,-3.461745915607306,15,563,32,15,Confined,3627
192,44,-4.18397747283405,-3.56149300063675,16,447,32,16,Confined,3627
193,44,-4.2468115157748745,-3.421558613747525,17,438,32,17,Confined,3627
194,44,-4.196443305752849,-3.4533585554860338,18,495,32,18,Confined,3627
195,44,-4.218433799757373,-3.258408857612158,19,461,32,19,Confined,3627
196,44,-4.059452397843199,-3.2802720125441414,20,494,32,20,Confined,3627
197,44,-4.137350593478623,-3.3511007929303935,21,481,32,21,Confined,3627
198,44,-4.154319211936508,-3.2002727857506,22,366,32,22,Confined,3627
199,44,-4.211009826767535,-3.317428992816064,23,428,32,23,Confined,3627
200,44,-4.249292032475205,-3.216850848580335,24,452,32,24,Confined,3627
201,44,-4.172952326382053,-3.2769043491435883,25,415,32,25,Confined,3627
202,44,-4.371063622941231,-3.2532491026574104,26,475,32,26,Confined,3627
203,44,-4.3416444143146995,-3.263849132108838,27,458,32,27,Confined,3627
204,44,-4.396118645804004,-3.1595502900864423,28,452,32,28,Confined,3627
205,44,-4.62708666846688,-3.1853856233516895,29,481,32,29,Confined,3627
206,44,-4.550618104092524,-3.2062123698704927,30,446,32,30,Confined,3627
207,44,-4.489007647970124,-3.28530550690438,31,526,32,31,Confined,3627
208,45,7.399568445981449,0.5900377884188714,0,522,32,0,Confined,3627
209,45,7.70200741216179,-0.12966532084052393,1,454,32,1,Confined,3627
