,Condensate ID,x_corr,y_corr,frame,area_cond,Frames visible,t,Condition,Video
3,11,-2.360563879712889,5.866900066428003,6,407,21,3,Non-Confined,8104
4,11,-3.269660349104248,5.4873361989533205,7,445,21,4,Non-Confined,8104
5,11,-3.0807280160978587,5.722985664867051,8,443,21,5,Non-Confined,8104
6,11,-3.212457398236371,5.653929294411956,9,544,21,6,Non-Confined,8104
7,11,-3.2797014617746854,5.506929110281043,10,578,21,7,Non-Confined,8104
8,11,-3.644420905705862,5.241622574053411,11,537,21,8,Non-Confined,8104
9,11,-3.293293986682969,5.375526613786477,12,648,21,9,Non-Confined,8104
10,11,-3.172306801702828,5.296297559438698,13,500,21,10,Non-Confined,8104
11,11,-3.0147176273115526,5.518963457350447,14,379,21,11,Non-Confined,8104
12,11,-2.073172513535139,5.882102866297465,15,423,21,12,Non-Confined,8104
13,11,-1.4863275236158038,5.864684285450833,16,477,21,13,Non-Confined,8104
14,11,-1.8880155937355376,5.975214301709075,17,553,21,14,Non-Confined,8104
15,11,-2.701748121080932,5.723008734265189,18,616,21,15,Non-Confined,8104
16,11,-1.7379875325973533,5.977157062055483,19,758,21,16,Non-Confined,8104
17,11,-4.199645834983798,5.079925580526618,20,848,21,17,Non-Confined,8104
18,11,-3.3092848589807238,5.567175182172299,21,829,21,18,Non-Confined,8104
19,11,-2.8145156039239985,5.683573096046229,22,906,21,19,Non-Confined,8104
20,11,-2.853443237571614,5.83612084167655,23,754,21,20,Non-Confined,8104
21,12,1.267566799983948,4.8889871763247825,0,748,21,0,Non-Confined,8104
22,12,1.1002067290931166,4.73201513385127,4,876,21,1,Non-Confined,8104
23,12,0.7301487255060315,5.0215032070951775,5,904,21,2,Non-Confined,8104
24,12,1.1919591753501886,4.928265057848448,6,862,21,3,Non-Confined,8104
25,12,0.28371248503964164,5.180928540895294,7,804,21,4,Non-Confined,8104
26,12,0.6755642184991419,5.4095698079091425,8,816,21,5,Non-Confined,8104
27,12,0.28113853343507755,5.362592049971495,9,820,21,6,Non-Confined,8104
28,12,0.09644059358863595,5.605744599554403,10,750,21,7,Non-Confined,8104
29,12,-0.14619459293418324,5.412113980309464,11,721,21,8,Non-Confined,8104
30,12,-0.021941025467036537,5.453892232235113,12,477,21,9,Non-Confined,8104
31,12,-0.040767355548979,5.495426159438699,13,390,21,10,Non-Confined,8104
32,12,0.4673679271763273,5.360209024685859,14,497,21,11,Non-Confined,8104
33,12,1.5938401648294187,5.237029031141635,15,753,21,12,Non-Confined,8104
34,12,2.085750583042131,5.056442180673813,16,749,21,13,Non-Confined,8104
35,12,1.8379212789889154,5.1669779792369654,17,746,21,14,Non-Confined,8104
36,12,0.8170788089334992,5.8587840228654775,18,594,21,15,Non-Confined,8104
37,12,1.966564440357791,5.443070835802185,19,400,21,16,Non-Confined,8104
38,12,-0.5294367238640956,5.464096089728595,20,183,21,17,Non-Confined,8104
39,12,0.9620873692591835,5.804400490510352,21,882,21,18,Non-Confined,8104
40,12,0.7580976670233107,6.113915684586394,22,690,21,19,Non-Confined,8104
41,12,1.129355684000897,6.192104528283306,23,335,21,20,Non-Confined,8104
42,13,5.573615195705871,4.302246935683069,0,339,11,0,Non-Confined,8104
43,13,5.240350854241492,5.096297755518844,4,427,11,1,Non-Confined,8104
44,13,5.344452643416477,4.9040039533638335,5,536,11,2,Non-Confined,8104
45,13,5.542033164426139,4.793747515993162,6,593,11,3,Non-Confined,8104
46,13,4.6588252454135946,5.667263619622539,7,546,11,4,Non-Confined,8104
47,13,5.036385589021034,5.572620474096672,8,532,11,5,Non-Confined,8104
48,13,4.942850385455462,5.725978885610375,9,536,11,6,Non-Confined,8104
49,13,4.705182865839946,5.91801909379524,10,573,11,7,Non-Confined,8104
50,13,4.292849718211798,6.18022605319908,11,571,11,8,Non-Confined,8104
51,13,4.551684281150268,5.716754630615697,12,581,11,9,Non-Confined,8104
52,13,4.341724379692522,5.813455461764278,13,215,11,10,Non-Confined,8104
53,14,0.6831599325479776,-6.005845169580088,0,114,15,0,Non-Confined,8104
54,14,2.227213538892908,-5.917073907244621,4,104,15,1,Non-Confined,8104
55,14,1.5599654808251764,-5.441960622692058,5,94,15,2,Non-Confined,8104
56,14,1.309242999893988,-5.4482591473312105,6,111,15,3,Non-Confined,8104
57,14,2.7187254514575487,-5.785484285597241,7,96,15,4,Non-Confined,8104
58,14,2.188326792028552,-5.8009071506470065,8,110,15,5,Non-Confined,8104
59,14,2.3614197430593333,-5.40412169426054,9,148,15,6,Non-Confined,8104
60,14,2.5481471861812297,-5.888031148593746,10,162,15,7,Non-Confined,8104
61,14,2.5434507221733265,-5.64257300746005,11,187,15,8,Non-Confined,8104
62,14,2.300031301576987,-5.700842358959857,12,159,15,9,Non-Confined,8104
63,14,2.4761794194151863,-5.526958809505403,13,161,15,10,Non-Confined,8104
64,14,2.2959216495103307,-6.050039868674303,14,142,15,11,Non-Confined,8104
65,14,1.5208140708858662,-6.549100608283859,15,119,15,12,Non-Confined,8104
66,14,0.9545467551425673,-6.293097361942148,16,155,15,13,Non-Confined,8104
67,14,1.8081534632509246,-5.722854168795786,17,148,15,14,Non-Confined,8104
68,15,-8.13021947897505,1.078871762046719,4,127,18,0,Non-Confined,8104
69,15,-7.813686448912574,1.4600357652347113,5,172,18,1,Non-Confined,8104
70,15,-8.038057910799312,1.381746008367967,6,184,18,2,Non-Confined,8104
71,15,-8.420457269130685,0.36462191426906837,7,187,18,3,Non-Confined,8104
72,15,-8.620276994953697,0.7829378574218475,8,169,18,4,Non-Confined,8104
73,15,-8.44700858300867,0.304492006698484,9,155,18,5,Non-Confined,8104
74,15,-7.920942826104584,0.2710397035886055,12,73,18,6,Non-Confined,8104
75,15,-8.834423448893839,0.06883604707914841,13,89,18,7,Non-Confined,8104
76,15,-8.592852535324708,1.3762185337953103,14,73,18,8,Non-Confined,8104
77,15,-7.72928046692926,2.388107374909421,15,42,18,9,Non-Confined,8104
