,Condition,Mean_MSD
0,Confined,0.1209758487391427
1,Confined,0.20965849890861038
2,Confined,0.2814663548499563
3,Confined,0.34066799441513096
4,Confined,0.41755714938481797
5,Confined,0.46941814407771076
6,Confined,0.507486337923132
7,Confined,0.6154067927348804
8,Confined,0.6306459046188979
9,Confined,0.728282862058426
10,Confined,0.8440628959693292
11,Confined,0.9449037637087321
12,Confined,1.0104627297860231
13,Confined,1.050553764925323
14,Confined,1.133343192511957
15,Confined,1.2914714821717046
16,Confined,1.4626128607079798
17,Confined,1.7198040837084796
18,Confined,1.9705440201553501
19,Confined,2.194429331810239
20,Confined,2.630875614051207
21,Confined,2.683435163246706
22,Confined,2.9335514460374115
23,Confined,3.480290632756786
24,Confined,3.8723208061263996
25,Confined,2.7724311121980616
26,Confined,2.295161675797185
27,Confined,2.9415493827792702
28,Confined,3.376696968011256
29,Confined,3.4363019105333734
30,Confined,4.213015631394892
31,Non-Confined,0.7690405287472211
32,Non-Confined,1.2279829592297204
33,Non-Confined,1.5314204211494162
34,Non-Confined,1.88642255051716
35,Non-Confined,2.0835343220239886
36,Non-Confined,2.3583446927161664
37,Non-Confined,2.9178871788936576
38,Non-Confined,2.519209570499236
39,Non-Confined,3.0123388420663813
40,Non-Confined,3.1708838515509252
41,Non-Confined,2.7447601371105548
42,Non-Confined,2.964000246834878
43,Non-Confined,2.9317329664224205
44,Non-Confined,3.0179208101428894
45,Non-Confined,3.800369631499683
46,Non-Confined,3.904737978751452
47,Non-Confined,4.397172570803376
48,Non-Confined,3.580621831458538
49,Non-Confined,3.2167918749537527
50,Non-Confined,2.4982866611573584
51,Non-Confined,3.323653132993729
52,Non-Confined,2.3700163567850003
53,Non-Confined,3.4159638283972167
54,Non-Confined,4.649416534091575
55,Non-Confined,5.4551838499539045
56,Non-Confined,8.462234023308847
57,Non-Confined,12.20804383224816
