,Image name,Confiner_height,Condition,Number of total HP1a condensates,Volume nucleus (um3),Sphericity,Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Flatness nucleus (um),Elongation nucleus (um),Condensate volume fraction
0,2021-11-25_Image1,Non-confined,Non-Confined,33,521.4412660848607,0.3487529511133481,25.59086459679449,10.18764141435918,4.166849283112791,0.5964833897702753,0.3690508703034123,0.029218019455730316
1,2021-11-30_Image1,Non-confined,Non-Confined,18,534.8636658310783,0.367236024514765,18.399639297143946,10.131668549596748,6.191241964581969,0.41992488602704214,0.2579454502354033,0.05170396283537222
2,2021-11-30_Image2,Non-confined,Non-Confined,24,364.3104948313538,0.3087420100915952,13.884620975700315,10.6023605325534,6.743281464765841,0.3031029448371142,0.12615527339689014,0.038491620566884745
3,2021-11-30_Image4,Non-confined,Non-Confined,21,864.429193374474,0.3035971343944336,19.177439740111545,14.21235075588232,6.967060272646411,0.39726075405318817,0.1391298580233824,0.016503924352376166
4,2021-12-16_Image2,Non-confined,Non-Confined,7,1029.5947373777128,0.291309825048129,24.822950798692336,15.448067452028084,6.663535228767141,0.481885620317814,0.21112103628219325,0.019203811319419475
5,2021-12-17_Image3,Non-confined,Non-Confined,8,543.3208298305275,0.3238140157869443,21.075918301814617,9.520258157922704,6.764784288586406,0.43345589745476243,0.32790431154180955,0.014328020408658652
6,2021-12-17_Image4,Non-confined,Non-Confined,12,530.6401172743019,0.3826349434519023,17.28388011593415,10.050004826560064,6.569262067798368,0.3834934839982359,0.23746020643328214,0.01793282475100657
7,2021-12-17_Image5,Non-confined,Non-Confined,8,1042.2641585375673,0.3721763985233123,21.884269105189773,14.094584570712978,5.5750091235003865,0.4952727323157915,0.19747214251542777,0.00813449978536404
8,2021-12-17_Image6,Non-confined,Non-Confined,3,792.7572940847177,0.1936650698684119,25.025373260422832,14.880954419797902,5.228613327600724,0.5429086730490236,0.22887441750095772,0.005862082280341338
9,2022-02-04_Image4,Non-confined,Non-Confined,14,614.70779055254,0.2960256093949425,20.93585173769128,12.763221158104042,5.550348293267117,0.4851095920645009,0.2192089431647476,0.043122568038765394
10,2022-02-04_Image5,Non-confined,Non-Confined,15,999.5910016841289,0.427205332463581,23.823879539840856,9.03640233473932,8.072613075167347,0.4178956747661161,0.38412647196072525,0.027498248791238827
11,2022-03-04_Image3,Non-confined,Non-Confined,8,368.5293990811875,0.3259999153780235,16.220699548173076,9.684311625609595,6.0790756093390845,0.38781316983372127,0.22732014805349043,0.02431656595188738
12,2022-06-23_Image1,Non-confined,Non-Confined,14,483.0188481946562,0.1864933369475878,24.5299180668132,14.044147612353092,5.046851847625501,0.546411297361709,0.24334197246388223,0.01660422796738415
13,2022-06-23_Image2,Non-confined,Non-Confined,14,733.3867659701558,0.3119045100487394,23.033464071905065,13.924814528658835,4.687311895650254,0.5488901630820924,0.22247371300883456,0.026063506217587584
14,2022-06-23_Image3,Non-confined,Non-Confined,6,312.27697693918725,0.2872592054783749,15.573229495523435,13.5472618278982,5.657264721007271,0.3972823510614618,0.06731193283166137,0.012020360478431528
