,r_major_axis,Confiner height ($\mu$m),p_agg_min/z_length_x
104,0.175392839151189,Non-confined,0.316142846051572
105,0.1634584371694426,Non-confined,0.34202509811081
106,0.0971595730857844,Non-confined,0.3358472383868865
107,0.1370984936090333,Non-confined,0.2734087965103134
108,0.2019548606497312,Non-confined,0.2810106626420403
109,0.1554467536441168,Non-confined,0.4146819451855509
110,0.3110909128495302,Non-confined,0.3395820509234634
111,0.1386087922560399,Non-confined,0.3106055494369114
112,0.1533185876843187,Non-confined,0.165589069014688
113,0.1471345241244684,Non-confined,0.1659762870342154
114,0.1917584774347007,Non-confined,0.1593704847040264
115,0.2209965460068344,Non-confined,0.1785334766909006
116,0.1831415174985586,Non-confined,0.2236464061415509
117,0.0891267985222547,Non-confined,0.3885630172527996
118,0.3274322727343619,Non-confined,0.103741482493997
119,0.3317740275228196,Non-confined,0.2149657220227942
120,0.2230946256563871,Non-confined,0.1910875797521762
121,0.2059632639756165,Non-confined,0.3259804918985764
122,0.3329575775147982,Non-confined,0.1095213028373468
123,0.2558531472828823,Non-confined,0.3363156383244375
124,0.3721842797167738,Non-confined,0.4480377140592887
125,0.3900700155593347,Non-confined,0.2882051110203867
126,0.3911554425530303,Non-confined,0.3137082309782367
127,0.1325174181743668,Non-confined,0.3984521079229532
128,0.3740454662811032,Non-confined,0.2575358407828636
129,0.2546995170139138,Non-confined,0.4103172448337288
130,0.281937388992059,Non-confined,0.0304908113369836
131,0.2923276144678635,Non-confined,0.3514589471443068
132,0.2819354736030539,Non-confined,0.454549776855689
133,0.0786813408449603,Non-confined,0.4329183288830966
134,0.3760148935456478,$<5.0$ -- $3.0$,0.2007571514408582
135,0.3748914661616727,$<5.0$ -- $3.0$,0.4530226438699228
136,0.3710347348532812,$<5.0$ -- $3.0$,0.3932859312955184
137,0.2399729786972527,$<5.0$ -- $3.0$,0.2741229447011611
138,0.1614810030329406,$<5.0$ -- $3.0$,0.2812792082470042
139,0.0264521749316195,$<5.0$ -- $3.0$,0.2905277639049229
140,0.151009128466113,$<5.0$ -- $3.0$,0.2191615892663075
141,0.1912208004443945,$<3.0$,0.2624096275350679
142,0.1607587400152843,$<3.0$,0.3229186663686986
143,0.0954360425380002,$<3.0$,0.2478619650696728
144,0.1957232562153612,$<3.0$,0.2224256903094273
145,0.2074506307677048,$<3.0$,0.3649194638844698
146,0.4122420503726162,$<3.0$,0.1077573206405468
147,0.1190714555132294,$<3.0$,0.3686029467455664
148,0.3344481474879239,$<5.0$ -- $3.0$,0.1450382686745263
149,0.3214487541479465,$<5.0$ -- $3.0$,0.1237857519460831
150,0.3067360071358709,$<5.0$ -- $3.0$,0.1512008741361969
151,0.2838930949436085,$<5.0$ -- $3.0$,0.2780700189945586
152,0.4351681041409099,$<5.0$ -- $3.0$,0.1910114787530742
153,0.4902620820240549,$<5.0$ -- $3.0$,0.0550568661268673
154,0.3532184773352481,$<5.0$ -- $3.0$,0.1005885018284494
155,0.5063117565695392,$<5.0$ -- $3.0$,0.0224726028847258
156,0.4048319625111775,$<5.0$ -- $3.0$,0.05231988819175
157,0.3705157107706137,$<5.0$ -- $3.0$,0.0800235921402743
158,0.2743840896713452,$<5.0$ -- $3.0$,0.2165127932118524
159,0.3255310092552391,$<5.0$ -- $3.0$,0.3157348473215
160,0.225536634953693,$<5.0$ -- $3.0$,0.3139088641109515
161,0.1274283611940549,$<5.0$ -- $3.0$,0.3150557472694374
162,0.4165391910910647,$<5.0$ -- $3.0$,0.1491915113493443
163,0.2100263107299715,$<5.0$ -- $3.0$,0.4376837614696181
164,0.0267618623447459,$<5.0$ -- $3.0$,0.3937646116224665
165,0.0791472595052148,$<5.0$ -- $3.0$,0.3484508004736724
166,0.1013432926555906,$<5.0$ -- $3.0$,0.3379052033674785
167,0.1958931119110304,$<5.0$ -- $3.0$,0.2994802076978514
168,0.0441010305521721,$<3.0$,0.4430933607785304
169,0.1610646725253537,$<3.0$,0.3592530620788529
170,0.1364983891798276,Non-confined,0.3659539006057745
171,0.2933190764667552,Non-confined,0.3170325442501698
172,0.3350296426964385,Non-confined,0.2007138358403313
173,0.235994441596827,Non-confined,0.1546355881674337
174,0.2924634181381216,Non-confined,0.285937466338988
175,0.3779338825523882,Non-confined,0.144186397570437
176,0.2524741896937444,Non-confined,0.2356050856957512
177,0.2510126090622266,Non-confined,0.2092436099243839
178,0.353749949158052,Non-confined,0.1314741511361326
179,0.3482235898284044,Non-confined,0.1845838250729546
180,0.3669627828780715,Non-confined,0.2595508718590917
181,0.3383038731216037,Non-confined,0.1326668807152451
182,0.2556965933787024,Non-confined,0.2185128863062292
183,0.4032972563504861,Non-confined,0.159404954860648
184,0.3022423075173913,Non-confined,0.3705975084911447
185,0.2498547013294186,Non-confined,0.2010638829202548
186,0.1441146494118814,Non-confined,0.3945643315050188
187,0.1079356189636096,Non-confined,0.4072894783076569
188,0.2695303367682174,Non-confined,0.2774444924879565
189,0.2072122026854341,Non-confined,0.3363520885526131
190,0.0469210119582224,Non-confined,0.3915982945700403
191,0.0532319762177333,Non-confined,0.3636430960755192
192,0.31816585491773,Non-confined,0.2058463494890634
193,0.0643259733817467,Non-confined,0.3440268316031598
194,0.1843888678543098,Non-confined,0.1690811790052047
195,0.2485362831704285,Non-confined,0.3391810047837257
196,0.1619709966676329,Non-confined,0.1218248072159976
197,0.122420859506244,Non-confined,0.2944999485385734
198,0.1373104161013737,Non-confined,0.3771736102303538
199,0.4131241085159538,$<3.0$,0.2634304646754282
200,0.2748688638511915,$<3.0$,0.3951703908239535
201,0.3542846601748876,$<3.0$,0.3774758794824376
202,0.0956445000453651,$<3.0$,0.3476810482566452
203,0.1586001228056397,$<3.0$,0.5845669679257679
204,0.2400228688938631,$<3.0$,0.4509979197520641
205,0.1224499955680998,$<3.0$,0.5130273332802765
206,0.2602435331246799,$<3.0$,0.2189792691539997
207,0.3293134553213498,$<5.0$ -- $3.0$,0.1722396403461764
208,0.1864266063488512,$<5.0$ -- $3.0$,0.2861292443624511
209,0.2429966386330718,$<5.0$ -- $3.0$,0.2737204656820724
210,0.0827683666721082,$<5.0$ -- $3.0$,0.166889700312581
211,0.3222825836478207,$<5.0$ -- $3.0$,0.1889252386386238
212,0.2349669220789501,Non-confined,0.2006313999762142
213,0.4053229273114355,Non-confined,0.1828339301639578
214,0.2751300512729949,Non-confined,0.1989916431817134
215,0.3191217388796915,Non-confined,0.1941468447002487
216,0.1119518033147066,Non-confined,0.3272761683776602
217,0.0922596106037054,Non-confined,0.3165979103079503
218,0.1541087525647706,Non-confined,0.2884535743265917
219,0.1607148571644797,Non-confined,0.2955780701574303
220,0.1839168183374377,$<3.0$,0.1843105448653205
221,0.1978148752650201,$<3.0$,0.1943542396010095
222,0.3202201843803869,$<3.0$,0.2361426165044955
223,0.1453111443130052,$<3.0$,0.3078202115152422
224,0.1900775043374193,$<5.0$ -- $3.0$,0.1491075206632786
225,0.3113347402312458,$<5.0$ -- $3.0$,0.1733038098753679
226,0.1867199479241735,$<5.0$ -- $3.0$,0.2486733164422574
227,0.2193884096849259,$<5.0$ -- $3.0$,0.2202703660388922
228,0.1623831197308951,$<5.0$ -- $3.0$,0.1512725983468331
229,0.0317603938927367,$<5.0$ -- $3.0$,0.3385555046346274
230,0.0148184237177711,$<5.0$ -- $3.0$,0.3601105770687292
231,0.0087030044272799,$<5.0$ -- $3.0$,0.3622201133936188
232,0.0742606245556822,$<3.0$,0.4401353907320281
233,0.2382687293401457,$<3.0$,0.3693908221083173
234,0.0265447350701483,$<3.0$,0.4341939176434785
235,0.0444745504101047,$<3.0$,0.4403939922645646
236,0.0969129135700598,$<3.0$,0.4465339436786998
237,0.0618221263870945,$<3.0$,0.4155176387827421
238,0.2424964447835506,$<3.0$,0.4324799026733237
239,0.1550489375738896,$<3.0$,0.3839886045021071
240,0.0857387260678622,$<3.0$,0.4539954403113612
241,0.0786172173812924,$<3.0$,0.45431358457017
242,0.0440440882610311,$<3.0$,0.4193203603053743
243,0.0472901685610692,$<3.0$,0.351870636878722
244,0.0632687088635706,$<5.0$ -- $3.0$,0.2654470272187879
245,0.1110923051927094,$<5.0$ -- $3.0$,0.3056117101945585
246,0.3657742335389313,$<5.0$ -- $3.0$,0.142132202290215
247,0.1436557106551636,$<5.0$ -- $3.0$,0.3241657215216246
248,0.3710885903536061,$<5.0$ -- $3.0$,0.2857882151109165
249,0.429264751659944,$<5.0$ -- $3.0$,0.0727702089185328
250,0.2364002436671325,$<5.0$ -- $3.0$,0.2980174080855047
251,0.4127292085459469,$<5.0$ -- $3.0$,0.2340571064625898
