,Image and date_x,Condition_x,Number of total aggregates_x,Voxel size (um3)_x,z_length_x_x,x_length_x_x,y_length_x_x,Volume_nucleus (nm^3)_SITK_x,Flatness_nucleus_SITK_x,Sphericity_x_x,Volume_nucleus_um3_x,Elongation_x_x,Surface_area_nucleus_um3_x,Height,Confiner height ($\mu$m),Unnamed: 0,Nucleus ID,Cell line,Condition_y,Centroid_x,Aggregate ID,Number of total aggregates_y,Volume_nucleus (nm^3)_SITK_y,Flatness_nucleus_SITK_y,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation_x_y,Flatness_x,LeastAxisLength_x,MajorAxisLength_x,Maximum3DDiameter_x,MeshVolume_x,MinorAxisLength_x,Sphericity_x_y,SurfaceArea_x,SurfaceVolumeRatio_x,VoxelVolume_x,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3)_y,bbox_um_x,x_length_x_y,y_length_x_y,z_length_x_y,Size of estimated periphery,Image_name_x,p_nuc_min,p_nuc_max,p_nuc_mean,p_nuc_sum,Volume_agg_SITK (nm^3),Centroid_y,bbox_agg_0,bbox_agg_1,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation_y,Flatness_y,LeastAxisLength_y,MajorAxisLength_y,Maximum3DDiameter_y,MeshVolume_y,MinorAxisLength_y,Sphericity_y,SurfaceArea_y,SurfaceVolumeRatio_y,VoxelVolume_y,r_agg_dist,Image_name_y,p_agg_min,p_agg_max,p_agg_mean,Image and date_y,bbox_um_y,x_length_y,y_length_y,z_length_y,Volume_condensates_um3,Volume_nucleus_um3_y,Surface_area_condensates_um3,Surface_area_nucleus_um3_y,r_major_axis,p_minor_axis,p_agg_min/z_length_x,Flatness_cond,Elongation_cond
0,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,0,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",1,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,12373.0,"(24.576982138527438, 1016.4961609957164, 884.891376384062)",860,995,17,52,43,17,884.891376384062,1016.4961609957164,24.57698213852744,0.5758340498144124,0.2448189429664228,12.6054759266829,51.48897292809468,53.9351462406472,12332.333333333334,29.649103801969407,0.6721751582810523,3840.3001530380134,0.3114009368087693,12373.0,2.715201158030488,2021-11-25_Image1,1.1613815131972152,13.71334348183988,8.681215900482975,2021-11-25_Image1,"[-1.0489889638641905, 1.113507732511249, -0.7226715007528649, 0.7607191866829055, -1.0186666666666686, 1.0186666666666682]",2.1624966963754395,1.4833906874357703,2.0373333333333368,2.847389993418832,521.4412660848607,6.9405678304063825,432.28730688494437,0.10621659419559903,0.1140878487719608,0.29421926529231884,0.7551810570335772,0.42416595018558756
1,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,1,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",2,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,576.0,"(21.140625, 973.5069444444445, 967.8975694444445)",962,968,18,12,12,7,967.8975694444443,973.5069444444443,21.140625,0.8528659783533008,0.5743107533628672,6.759913134687871,11.770479823171184,13.45362404707371,565.5833333333334,10.038641790076678,0.8806072702750619,375.5775229002359,0.664053377752001,576.0,5.674931302028111,2021-11-25_Image1,0.6942376009756803,17.524158237712093,9.527811158011788,2021-11-25_Image1,"[-0.2771165255158198, 0.25376777640824155, -0.19489249936626146, 0.24158999758138633, -0.382000000000001, 0.38200000000000056]",0.5308843019240613,0.4364824969476478,0.7640000000000016,0.1325544844588416,521.4412660848607,0.6787806081258907,432.28730688494437,0.22199897543968788,0.06819815326135002,0.17587508891462908,0.4256892466371328,0.1471340216466992
2,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,2,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",3,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,359.0,"(22.21727019498607, 1052.8857938718663, 814.3064066852368)",810,1048,18,9,10,9,814.3064066852368,1052.8857938718663,22.21727019498607,0.8277101501901751,0.6544367923874044,6.336637862350181,9.682581933136648,11.224972160321824,349.0416666666667,8.01437134610521,0.8911010227235784,269.03494743913996,0.7707817522429699,359.0,3.3810658950725836,2021-11-25_Image1,1.2919773591575976,15.098987502356714,8.79320909142909,2021-11-25_Image1,"[-0.21170675773622608, 0.19587567083872914, -0.17894898396421738, 0.17103344051546324, -0.5093333333333345, 0.5093333333333341]",0.4075824285749552,0.3499824244796806,1.0186666666666686,0.0826164234734794,521.4412660848607,0.4862263956045218,432.28730688494437,0.13226471381811042,0.12691687950378056,0.3273038403540606,0.3455632076125956,0.17228984980982487
3,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,3,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",4,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,488.0,"(21.399590163934427, 1124.122950819672, 819.1168032786885)",814,1119,18,11,11,8,819.1168032786885,1124.122950819672,21.399590163934427,0.8201681605603539,0.6109895165411334,6.732153308702434,11.0184432407511,12.68857754044952,477.5,9.036976325005494,0.8737925383128973,338.11002149674584,0.7080838146528708,488.0,3.519915434205167,2021-11-25_Image1,1.2019011413955736,14.967325968505143,8.773857952776893,2021-11-25_Image1,"[-0.24781584789446479, 0.24781584789446479, -0.20233254539237122, 0.21189766906620305, -0.4456666666666673, 0.44566666666666777]",0.4956316957889295,0.4142302144585743,0.8913333333333351,0.1123031048887408,521.4412660848607,0.6110656575845769,432.28730688494437,0.13769640167249736,0.11806827825328095,0.30448432901424716,0.3890104834588666,0.1798318394396461
4,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,4,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",5,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,531.0,"(22.4030131826742, 1120.1883239171375, 1020.1826741996233)",1014,1116,19,13,9,8,1020.1826741996232,1120.1883239171375,22.4030131826742,0.7198656212457252,0.5974457887817508,7.118314276731962,11.914577707957214,13.74772708486752,520.625,8.576894883619088,0.8833230291427916,354.30823829255803,0.6805440351357658,531.0,5.85688496915022,2021-11-25_Image1,1.5015173461835938,19.860849774059098,9.150201832725148,2021-11-25_Image1,"[-0.26579794027362785, 0.26579794027363485, -0.18921378135491584, 0.1820046886514147, -0.4456666666666673, 0.44566666666666777]",0.5315958805472627,0.3712184700063305,0.8913333333333351,0.1221986653604946,521.4412660848607,0.6403406668085367,432.28730688494437,0.22911686383847188,0.14750095638105817,0.3803877755911817,0.4025542112182492,0.2801343787542748
5,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,5,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",6,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,2263.0,"(26.515687140963323, 1056.958904109589, 692.323022536456)",680,1046,20,30,28,15,692.323022536456,1056.958904109589,26.515687140963323,0.5010965208471817,0.2073465710285217,7.134754094071289,34.40980026185175,34.48187929913333,2235.75,17.242631194260355,0.6590409711205155,1254.6440640163091,0.5611736840059529,2263.0,8.402833084944227,2021-11-25_Image1,0.9691914237163444,20.2694148617294,10.709654071159076,2021-11-25_Image1,"[-0.5759616947747145, 0.7820315298330659, -0.47409626313111025, 0.4582075033127967, -0.8913333333333351, 0.8913333333333346]",1.3579932246077804,0.9323037664439068,1.7826666666666695,0.5207826359902058,521.4412660848607,2.267516048825813,432.28730688494437,0.32871240837429433,0.09520813214568123,0.24553067650304242,0.7926534289714783,0.4989034791528183
6,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,6,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",7,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,4662.0,"(25.93715143715144, 1095.8723723723724, 1065.7368082368082)",1054,1080,20,26,32,13,1065.7368082368082,1095.8723723723724,25.93715143715144,0.7170978539078148,0.3471851096335804,10.31595672022685,29.71313122015609,32.93933818400121,4637.875,21.307222630855215,0.7782331527227577,1728.1724982509857,0.3726216205160738,4662.0,7.563243059794491,2021-11-25_Image1,1.5360530514140758,21.54881807877755,9.72639387309986,2021-11-25_Image1,"[-0.5892002304382024, 0.7316420061757133, -0.4985515697530561, 0.5115034182973132, -0.7640000000000016, 0.7640000000000011]",1.3208422366139156,1.0100549880503693,1.5280000000000027,1.0728628585887492,521.4412660848607,3.1233231697436783,432.28730688494437,0.29586828825146366,0.15089355758126272,0.3891368986862202,0.6528148903664196,0.2829021460921852
7,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,7,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",8,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,963.0,"(24.937694704049843, 1123.127725856698, 1051.5420560747664)",1045,1117,20,14,14,10,1051.5420560747664,1123.127725856698,24.937694704049843,0.7830877995112754,0.6226638142082959,8.706585784578158,13.98280353845261,15.811388300841896,950.0,10.949762853925328,0.8859278988401159,527.5150036078965,0.5552789511662068,963.0,7.165173872189586,2021-11-25_Image1,1.59227655204798,21.16492224568498,9.645265367592812,2021-11-25_Image1,"[-0.277135000348161, 0.33594116595037893, -0.23083608988411325, 0.2771350003481649, -0.5730000000000008, 0.5730000000000013]",0.61307616629854,0.5079710902322782,1.146000000000002,0.2216145287046258,521.4412660848607,0.953376954455318,432.28730688494437,0.28029612585879893,0.156416650694819,0.40338031212159536,0.37733618579170414,0.21691220048872462
8,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,8,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",9,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,450.0,"(23.586666666666666, 1130.8133333333333, 728.5844444444444)",723,1125,20,12,12,8,728.5844444444444,1130.8133333333333,23.586666666666662,0.6119139909839992,0.4717700479075445,6.1119527925316985,12.955364206863536,14.212670403551895,439.1666666666667,7.92756861647312,0.8311724105224554,336.1599095495105,0.76544950941065,450.0,7.133849985386438,2021-11-25_Image1,1.5098248560843937,18.8194020109916,10.02698793614652,2021-11-25_Image1,"[-0.24370839411583253, 0.30152564492511846, -0.15245910303692706, 0.18362943587406547, -0.4456666666666673, 0.44566666666666777]",0.545234039040951,0.3360885389109925,0.8913333333333351,0.10355819098347001,521.4412660848607,0.6075412236322032,432.28730688494437,0.2790707593465026,0.14831704129584627,0.38249236347349885,0.5282299520924555,0.38808600901600077
9,2021-11-25_Image1,Non-Confined,33,0.0002301293132966,3.94733333333334,25.562871588882004,10.17971261355439,2265862.0,7.043051163315512,0.3487529511133481,521.4412660848607,0.3392091151334966,432.28730688494437,6.62,Non-confined,9,1,IMR-90,Non-Confined,"[(24.913073699987024, 1080.25227485169, 888.5433548027197)]",10,33,2265862.0,7.043051163315512,0.3789408854079376,565,949,8,604,243,32,888.5433548027197,1080.25227485169,24.913073699987024,0.3392091151334966,0.048162239243738,29.163649244016376,605.5293462670168,607.4380626862297,2265502.9166666665,205.40107373459944,0.3487529511133481,239189.7970528789,0.1055791168014955,2265862.0,0.1273333333333335,0.0425123308225212,0.0425123308225212,0.0018072982719634,0.0002301293132966,"[-12.796766146406998, 12.766105442475007, -5.1606679325248805, 5.01904468102951, -1.9736666666666698, 1.97366666666667]",25.562871588882004,10.17971261355439,3.94733333333334,1924620,2021-11-25_Image1,1.5477533005890594,14.034634766965446,8.265426352955554,2573969.482279224,6517.0,"(26.22111400951358, 1150.321773822311, 768.710142703698)",748,1132,20,40,38,13,768.710142703698,1150.321773822311,26.22111400951358,0.5435511180730841,0.2019000192266951,9.07201427179864,44.933201623980544,48.53864439804639,6469.125,24.42349198131794,0.6168559935922129,2721.849017043932,0.4207445391832639,6517.0,5.903718926903387,2021-11-25_Image1,1.2061093567216885,17.28590030968953,9.564475546434878,2021-11-25_Image1,"[-1.0515289485106456, 0.9664629058477073, -0.5917566667434242, 0.6869527295394624, -0.7640000000000016, 0.7640000000000011]",2.017991854358353,1.2787093962828866,1.5280000000000027,1.4997527347539423,521.4412660848607,4.919193025048777,432.28730688494437,0.23094897247268092,0.11848167060391683,0.30555041970655794,0.7980999807733049,0.4564488819269159
