,Image name,Cell line,Condition,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3),Nucleus ID,Number of total HP1a condensates,Number of voxels nucleus,bbox nucleus (um),Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Confiner height (um),Number of voxels inner nucleus object,Number of voxels HP1a condensates,Radial distance random point (um),Radial distance HP1a condensate (um),Peripheral distance random point (um),Peripheral distance HP1a condensate (um),Major axis HP1a condensate (um),Intermediate axis HP1a condensate (um),Minor axis HP1a condensate (um),Radial distance HP1a condensate scaled,Minimum peripheral distance HP1a condensate scaled,Radial distance random point scaled,Minimum peripheral distance random point scaled,Volume HP1a condensate (um3),Volume nucleus (um3)
10,2022-01-28_Image2,IMR90,Confined,0.172916580930095,0.0426143561206932,0.0426143561206932,0.0018159833475812,0.0003140136314897,11,7,1298372.0,"[-8.761003966781724, 8.444695348764776, -4.6728603042477435, 5.084533175044867, -2.8531235853465686, 2.8531235853465686]",17.2056993155465,9.75739347929261,2.77,$<3.0$,1103012,1692.0,4.260369497586358,3.380528520049994,0.213071780603466,0.802309939852534,0.788473340335965,0.6424827056112501,1.5562492283708558,0.196477251987977,0.18964257756409167,0.2476138527968363,0.07692122043446425,0.5313110644806415,407.7065067445978
11,2022-01-28_Image2,IMR90,Confined,0.172916580930095,0.0426143561206932,0.0426143561206932,0.0018159833475812,0.0003140136314897,11,7,1298372.0,"[-8.761003966781724, 8.444695348764776, -4.6728603042477435, 5.084533175044867, -2.8531235853465686, 2.8531235853465686]",17.2056993155465,9.75739347929261,2.77,$<3.0$,1103012,18190.0,3.749908394136826,3.5913964018704725,0.4405177557069055,1.6444967796498715,2.6105769138867974,1.7235987304416442,2.939581875811616,0.2087329515647995,0.4936811478880403,0.2179457123691876,0.1590316807606157,5.711907956798386,407.7065067445978
12,2022-01-28_Image2,IMR90,Confined,0.172916580930095,0.0426143561206932,0.0426143561206932,0.0018159833475812,0.0003140136314897,11,7,1298372.0,"[-8.761003966781724, 8.444695348764776, -4.6728603042477435, 5.084533175044867, -2.8531235853465686, 2.8531235853465686]",17.2056993155465,9.75739347929261,2.77,$<3.0$,1103012,2096.0,7.528591452350952,7.116429894230405,0.2107795311248314,0.6148899060265934,0.8986301229079008,0.7139171463919799,1.7291658093009512,0.4136088724856556,0.12198191553306623,0.4375638161680744,0.07609369354687054,0.6581725716024969,407.7065067445978
13,2022-01-28_Image2,IMR90,Confined,0.172916580930095,0.0426143561206932,0.0426143561206932,0.0018159833475812,0.0003140136314897,11,7,1298372.0,"[-8.761003966781724, 8.444695348764776, -4.6728603042477435, 5.084533175044867, -2.8531235853465686, 2.8531235853465686]",17.2056993155465,9.75739347929261,2.77,$<3.0$,1103012,7377.0,3.5835596982172917,2.027852804530472,1.7296908334737144,1.7075872691173144,1.496106931729928,1.22659044944202,2.4208321330213307,0.1178593655125758,0.5164574978762868,0.2082774801823547,0.6244371239977309,2.316478559499818,407.7065067445978
14,2022-01-28_Image4,IMR90,Confined,0.172916580930095,0.0425016197288395,0.0425016197288395,0.0018063876795748,0.0003123543813863,12,11,1622694.0,"[-8.48549115684811, 8.480622420295033, -6.780390430965266, 6.534519235034831, -2.5072904234863786, 2.5072904234863786]",16.96611357714314,13.314909666000098,3.2,$<5.0$ -- $3.0$,1379376,615.0,3.034905188043965,5.719359017852618,0.7718921573259018,0.5950837609315651,0.6587228245649789,0.4003845274062357,1.2104160665106654,0.337104840884584,0.1859636752911141,0.1788804002899408,0.24121629916434428,0.192097944552597,506.8555805493203
15,2022-01-28_Image4,IMR90,Confined,0.172916580930095,0.0425016197288395,0.0425016197288395,0.0018063876795748,0.0003123543813863,12,11,1622694.0,"[-8.48549115684811, 8.480622420295033, -6.780390430965266, 6.534519235034831, -2.5072904234863786, 2.5072904234863786]",16.96611357714314,13.314909666000098,3.2,$<5.0$ -- $3.0$,1379376,3599.0,4.424666387161849,5.445969474334389,0.2424919521009968,0.5500593889456885,1.6935892506300692,0.7052693810991492,1.3833326474407603,0.3209909829715648,0.17189355904552764,0.2607943396726276,0.0757787350315615,1.1241634186094258,506.8555805493203
16,2022-01-28_Image4,IMR90,Confined,0.172916580930095,0.0425016197288395,0.0425016197288395,0.0018063876795748,0.0003123543813863,12,11,1622694.0,"[-8.48549115684811, 8.480622420295033, -6.780390430965266, 6.534519235034831, -2.5072904234863786, 2.5072904234863786]",16.96611357714314,13.314909666000098,3.2,$<5.0$ -- $3.0$,1379376,1234.0,5.3683563651550354,5.224296453496815,0.5139178827480189,0.741902964777847,0.7656030992035837,0.5249340774445068,1.556249228370855,0.3079253495352655,0.2318446764930772,0.3164163873326488,0.1605993383587559,0.3854453066307395,506.8555805493203
17,2022-01-28_Image4,IMR90,Confined,0.172916580930095,0.0425016197288395,0.0425016197288395,0.0018063876795748,0.0003123543813863,12,11,1622694.0,"[-8.48549115684811, 8.480622420295033, -6.780390430965266, 6.534519235034831, -2.5072904234863786, 2.5072904234863786]",16.96611357714314,13.314909666000098,3.2,$<5.0$ -- $3.0$,1379376,6951.0,6.231582124316067,4.800096630821838,0.3081072871992004,1.196756831691738,1.793648605073884,0.9367007012839732,2.247915552091236,0.2829225802949097,0.3739865099036681,0.3672957920493527,0.09628352724975012,2.171175305016426,506.8555805493203
18,2022-01-28_Image4,IMR90,Confined,0.172916580930095,0.0425016197288395,0.0425016197288395,0.0018063876795748,0.0003123543813863,12,11,1622694.0,"[-8.48549115684811, 8.480622420295033, -6.780390430965266, 6.534519235034831, -2.5072904234863786, 2.5072904234863786]",16.96611357714314,13.314909666000098,3.2,$<5.0$ -- $3.0$,1379376,10441.0,1.7097180799296436,7.341058510876449,1.5706913614056242,0.8915135066768991,2.1326989579454505,1.4716427581171971,2.074998971161141,0.4326894593447948,0.27859797083653093,0.1007725235455801,0.4908410504392575,3.2612920960547416,506.8555805493203
19,2022-01-28_Image4,IMR90,Confined,0.172916580930095,0.0425016197288395,0.0425016197288395,0.0018063876795748,0.0003123543813863,12,11,1622694.0,"[-8.48549115684811, 8.480622420295033, -6.780390430965266, 6.534519235034831, -2.5072904234863786, 2.5072904234863786]",16.96611357714314,13.314909666000098,3.2,$<5.0$ -- $3.0$,1379376,1127.0,4.9994067716886335,8.277685516911058,0.9436891045415434,0.3306177137470302,0.7835148301594853,0.5784737711166942,1.2104160665106654,0.4878952082498616,0.10331803554594693,0.294670122827886,0.2949028451692323,0.3520233878224015,506.8555805493203
